GeneID	AIMs	upper
IV00_00028578	---	CHECK
IV00_00028577	---	CHECK
IV00_00028831	---	CHECK
IV00_00028829	---	CHECK
IV00_00028833	---	CHECK
IV00_00028830	---	CHECK
IV00_00029037	---	CHECK
IV00_00029105	---	CHECK
IV00_00029103	---	CHECK
IV00_00006856	CHECK	---
IV00_00007117	CHECK	---
IV00_00007121	CHECK	---
IV00_00008837	CHECK	---
IV00_00036777	CHECK	---
IV00_00036782	CHECK	---
IV00_00036803	CHECK	---
IV00_00036807	CHECK	---
IV00_00036808	CHECK	---
IV00_00038346	CHECK	---
IV00_00038347	CHECK	---
IV00_00038348	CHECK	---
IV00_00038349	CHECK	---
IV00_00048076	CHECK	---
IV00_00048077	CHECK	---
IV00_00048078	CHECK	---
IV00_00048081	CHECK	---
IV00_00048083	CHECK	---
IV00_00019025	CHECK	---
IV00_00019031	CHECK	---
IV00_00020150	CHECK	---
IV00_00020155	CHECK	---
IV00_00020232	CHECK	---
IV00_00020941	CHECK	---
IV00_00048905	CHECK	---
IV00_00048908	CHECK	---
IV00_00048911	CHECK	---
IV00_00048915	CHECK	---
IV00_00050714	CHECK	---
IV00_00050718	CHECK	---
IV00_00050809	CHECK	---
