"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","FoldEnrichment","Size_cat"
"1","GO:0006369",0.00468483816013632,Inf,0.00468483816013629,1,1,"Termination of RNA Polymerase Ii Transcription",240.87037037037,"< 50"
"2","GO:0006353",0.00468483816013632,Inf,0.00468483816013629,1,1,"Dna-Templated Transcription Termination",240.87037037037,"< 50"
"3","GO:0001570",0.00468483816013632,Inf,0.00468483816013629,1,1,"Vasculogenesis",240.87037037037,"< 50"
"4","GO:0006546",0.0139917401196313,111.238095238095,0.0140545144804089,1,3,"Glycine Catabolic Process",80.2901234567901,"< 50"
"5","GO:0009071",0.0139917401196313,111.238095238095,0.0140545144804089,1,3,"Serine Family Amino Acid Catabolic Process",80.2901234567901,"< 50"
"6","GO:0006544",0.018613982122053,74.1428571428571,0.0187393526405451,1,4,"Glycine Metabolic Process",60.2175925925926,"< 50"
"7","GO:0031124",0.018613982122053,74.1428571428571,0.0187393526405451,1,4,"mRNA 3'-End Processing",60.2175925925926,"< 50"
"8","GO:0034654",0.0204443274933325,2.88375531325079,3.65885860306644,8,781,"Nucleobase-Containing Compound Biosynthetic Process",2.46730212927396,"> 750"
"9","GO:0046051",0.0277964909772236,44.4666666666667,0.0281090289608177,1,6,"UTP Metabolic Process",40.1450617283951,"< 50"
"10","GO:0046039",0.0277964909772236,44.4666666666667,0.0281090289608177,1,6,"GTP Metabolic Process",40.1450617283951,"< 50"
"11","GO:0006183",0.0277964909772236,44.4666666666667,0.0281090289608177,1,6,"GTP Biosynthetic Process",40.1450617283951,"< 50"
"12","GO:0006228",0.0277964909772236,44.4666666666667,0.0281090289608177,1,6,"UTP Biosynthetic Process",40.1450617283951,"< 50"
"13","GO:0006397",0.0305151438339628,8.1,0.276405451448041,2,59,"mRNA Processing",8.16509730069052,"< 100"
"14","GO:0009147",0.0323569338766905,37.0476190476191,0.032793867120954,1,7,"Pyrimidine Nucleoside Triphosphate Metabolic Process",34.4100529100529,"< 50"
"15","GO:0031123",0.0323569338766905,37.0476190476191,0.032793867120954,1,7,"RNA 3'-End Processing",34.4100529100529,"< 50"
"16","GO:0009148",0.0323569338766905,37.0476190476191,0.032793867120954,1,7,"Pyrimidine Nucleoside Triphosphate Biosynthetic Process",34.4100529100529,"< 50"
"17","GO:0046036",0.0323569338766905,37.0476190476191,0.032793867120954,1,7,"CTP Metabolic Process",34.4100529100529,"< 50"
"18","GO:0009208",0.0323569338766905,37.0476190476191,0.032793867120954,1,7,"Pyrimidine Ribonucleoside Triphosphate Metabolic Process",34.4100529100529,"< 50"
"19","GO:0009209",0.0323569338766905,37.0476190476191,0.032793867120954,1,7,"Pyrimidine Ribonucleoside Triphosphate Biosynthetic Process",34.4100529100529,"< 50"
"20","GO:0006241",0.0323569338766905,37.0476190476191,0.032793867120954,1,7,"CTP Biosynthetic Process",34.4100529100529,"< 50"
"21","GO:0032774",0.0348924903225896,2.6899179932465,3.27001703577513,7,698,"RNA Biosynthetic Process",2.41560543351374,"< 750"
"22","GO:0141187",0.0356302431256419,2.67627281460135,3.28407155025554,7,701,"Nucleic Acid Biosynthetic Process",2.4052676071221,"< 750"
"23","GO:0006139",0.0358522979396668,2.46461538461538,4.84412265758092,9,1034,"Nucleobase-Containing Compound Metabolic Process",2.09655061250806,"> 750"
"24","GO:0048514",0.0368969525277278,31.7482993197279,0.0374787052810903,1,8,"Blood Vessel Morphogenesis",30.1087962962963,"< 50"
"25","GO:0048646",0.0368969525277278,31.7482993197279,0.0374787052810903,1,8,"Anatomical Structure Formation Involved In Morphogenesis",30.1087962962963,"< 50"
"26","GO:0035295",0.0368969525277278,31.7482993197279,0.0374787052810903,1,8,"Tube Development",30.1087962962963,"< 50"
"27","GO:0009220",0.0368969525277278,31.7482993197279,0.0374787052810903,1,8,"Pyrimidine Ribonucleotide Biosynthetic Process",30.1087962962963,"< 50"
"28","GO:0009218",0.0368969525277278,31.7482993197279,0.0374787052810903,1,8,"Pyrimidine Ribonucleotide Metabolic Process",30.1087962962963,"< 50"
"29","GO:0035239",0.0368969525277278,31.7482993197279,0.0374787052810903,1,8,"Tube Morphogenesis",30.1087962962963,"< 50"
"30","GO:0001568",0.0368969525277278,31.7482993197279,0.0374787052810903,1,8,"Blood Vessel Development",30.1087962962963,"< 50"
"31","GO:0001525",0.0368969525277278,31.7482993197279,0.0374787052810903,1,8,"Angiogenesis",30.1087962962963,"< 50"
"32","GO:0001944",0.0368969525277278,31.7482993197279,0.0374787052810903,1,8,"Vasculature Development",30.1087962962963,"< 50"
"33","GO:0006396",0.0401771904847136,4.39766081871345,0.772998296422487,3,165,"RNA Processing",4.37946127946128,"< 250"
"34","GO:0170040",0.0414166340645002,27.7738095238095,0.0421635434412266,1,9,"Proteinogenic Amino Acid Catabolic Process",26.7633744855967,"< 50"
"35","GO:1901606",0.0414166340645002,27.7738095238095,0.0421635434412266,1,9,"Alpha-Amino Acid Catabolic Process",26.7633744855967,"< 50"
"36","GO:0009069",0.0414166340645002,27.7738095238095,0.0421635434412266,1,9,"Serine Family Amino Acid Metabolic Process",26.7633744855967,"< 50"
"37","GO:0009063",0.0459160652679528,24.6825396825397,0.0468483816013629,1,10,"Amino Acid Catabolic Process",24.087037037037,"< 50"
"38","GO:0016071",0.0473184610600519,6.3027397260274,0.351362862010221,2,75,"mRNA Metabolic Process",6.42320987654321,"< 100"
