id	pop	hybrid.index	heterozygosity	perc.missing
Crotone498_SAMPLE	Crotone498_SAMPLE	Italian	0.495548961424332	0.267062314540059	0.0146198830409357
Crotone500_SAMPLE	Crotone500_SAMPLE	Italian	0.530211480362538	0.498489425981873	0.0321637426900585
Crotone501_SAMPLE	Crotone501_SAMPLE	Italian	0.329819277108434	0.557228915662651	0.0292397660818713
Crotone502_SAMPLE	Crotone502_SAMPLE	Italian	0.65625	0.455357142857143	0.0175438596491228
Crotone505_SAMPLE	Crotone505_SAMPLE	Italian	0.660550458715596	0.330275229357798	0.043859649122807
Crotone510_SAMPLE	Crotone510_SAMPLE	Italian	0.659574468085106	0.547112462006079	0.0380116959064327
Crotone512_SAMPLE	Crotone512_SAMPLE	Italian	0.367164179104478	0.459701492537313	0.0204678362573099
Crotone514_SAMPLE	Crotone514_SAMPLE	Italian	0.684131736526946	0.446107784431138	0.0233918128654971
Crotone517_SAMPLE	Crotone517_SAMPLE	Italian	0.654545454545455	0.472727272727273	0.0350877192982456
Crotone518_SAMPLE	Crotone518_SAMPLE	Italian	0.628318584070796	0.495575221238938	0.0087719298245614
Guglionesi_336_SAMPLE	Guglionesi_336_SAMPLE	Italian	0.372754491017964	0.637724550898204	0.0233918128654971
Guglionesi_426_SAMPLE	Guglionesi_426_SAMPLE	Italian	0.309171597633136	0.381656804733728	0.0116959064327485
Guglionesi_427_SAMPLE	Guglionesi_427_SAMPLE	Italian	0.552083333333333	0.586309523809524	0.0175438596491228
Guglionesi_428_SAMPLE	Guglionesi_428_SAMPLE	Italian	0.585798816568047	0.331360946745562	0.0116959064327485
Guglionesi_429_SAMPLE	Guglionesi_429_SAMPLE	Italian	0.349112426035503	0.585798816568047	0.0116959064327485
Guglionesi_431_SAMPLE	Guglionesi_431_SAMPLE	Italian	0.545454545454545	0.580645161290323	0.00292397660818713
Guglionesi_432_SAMPLE	Guglionesi_432_SAMPLE	Italian	0.26865671641791	0.304477611940298	0.0204678362573099
Guglionesi_433_SAMPLE	Guglionesi_433_SAMPLE	Italian	0.562314540059347	0.519287833827893	0.0146198830409357
Guglionesi_434_SAMPLE	Guglionesi_434_SAMPLE	Italian	0.516129032258065	0.498533724340176	0.00292397660818713
Guglionesi_435_SAMPLE	Guglionesi_435_SAMPLE	Italian	0.580357142857143	0.398809523809524	0.0175438596491228
KAZ14001_SAMPLE	KAZ14001_SAMPLE	Spanish	0.994134897360704	0.0117302052785924	0.00292397660818713
KAZ14003_SAMPLE	KAZ14003_SAMPLE	Spanish	0.998511904761905	0.00297619047619048	0.0175438596491228
KAZ14032_SAMPLE	KAZ14032_SAMPLE	Spanish	0.997058823529412	0.00588235294117647	0.00584795321637427
KAZ14035_SAMPLE	KAZ14035_SAMPLE	Spanish	0.998538011695906	0.00292397660818713	0
KAZ14053_SAMPLE	KAZ14053_SAMPLE	Spanish	0.998516320474777	0.0029673590504451	0.0146198830409357
KAZ14054_SAMPLE	KAZ14054_SAMPLE	Spanish	1	0	0.00584795321637427
KAZ14055_SAMPLE	KAZ14055_SAMPLE	Spanish	0.994082840236686	0.0118343195266272	0.0116959064327485
KAZ14057_SAMPLE	KAZ14057_SAMPLE	Spanish	0.99702380952381	0.00595238095238095	0.0175438596491228
KAZ14059_SAMPLE	KAZ14059_SAMPLE	Spanish	0.995548961424332	0.00890207715133531	0.0146198830409357
KAZ14061_SAMPLE	KAZ14061_SAMPLE	Spanish	0.994100294985251	0.0117994100294985	0.0087719298245614
PD22NLD0146F_SAMPLE	PD22NLD0146F_SAMPLE	House	0.0132890365448505	0.026578073089701	0.119883040935673
PD22NLD0147F_SAMPLE	PD22NLD0147F_SAMPLE	House	0.00980392156862745	0.0196078431372549	0.105263157894737
PDOM2022NLD0041J_SAMPLE	PDOM2022NLD0041J_SAMPLE	House	0.0218068535825545	0.043613707165109	0.0614035087719298
PDOM2022NLD0042M_SAMPLE	PDOM2022NLD0042M_SAMPLE	House	0.0105740181268882	0.0211480362537764	0.0321637426900585
PDOM2022NLD0043F_SAMPLE	PDOM2022NLD0043F_SAMPLE	House	0.00632911392405063	0.0126582278481013	0.0760233918128655
PDOM2022NLD0044M_SAMPLE	PDOM2022NLD0044M_SAMPLE	House	0.00298507462686567	0.00597014925373134	0.0204678362573099
PDOM2022NLD0045M_SAMPLE	PDOM2022NLD0045M_SAMPLE	House	0.00906344410876133	0.0181268882175227	0.0321637426900585
PDOM2022NLD0046M_SAMPLE	PDOM2022NLD0046M_SAMPLE	House	0.00306748466257669	0.00613496932515337	0.0467836257309941
PDOM2022NLD0047F_SAMPLE	PDOM2022NLD0047F_SAMPLE	House	0.0230061349693252	0.0460122699386503	0.0467836257309941
PDOM2022NLD0048F_SAMPLE	PDOM2022NLD0048F_SAMPLE	House	0.00778816199376947	0.0155763239875389	0.0614035087719298
PDOM2022NLD0072M_SAMPLE	PDOM2022NLD0072M_SAMPLE	House	0	0	0.0555555555555556
PDOM2022NLD0077M_SAMPLE	PDOM2022NLD0077M_SAMPLE	Meerkerk	0.0102941176470588	0.0205882352941176	0.00584795321637427
PDOM2022NLD0078F_SAMPLE	PDOM2022NLD0078F_SAMPLE	House	0.0148026315789474	0.0296052631578947	0.111111111111111
PDOM2022NLD0080F_SAMPLE	PDOM2022NLD0080F_SAMPLE	House	0.00923076923076923	0.0184615384615385	0.0497076023391813
PDOM2022NLD0081F_SAMPLE	PDOM2022NLD0081F_SAMPLE	House	0.0112540192926045	0.022508038585209	0.0906432748538012
PDOM2022NLD0082F_SAMPLE	PDOM2022NLD0082F_SAMPLE	House	0.0029940119760479	0.00598802395209581	0.0233918128654971
PDOM2022NLD0107J_SAMPLE	PDOM2022NLD0107J_SAMPLE	House	0	0	0.043859649122807
PDOM2022NLD0108J_SAMPLE	PDOM2022NLD0108J_SAMPLE	House	0.0062111801242236	0.0124223602484472	0.0584795321637427
