id	pop	hybrid.index	heterozygosity	perc.missing
Crotone498_SAMPLE	Crotone498_SAMPLE	Italian	0.549772899318698	0.405374716124148	0.0243722304283604
Crotone500_SAMPLE	Crotone500_SAMPLE	Italian	0.615311187476136	0.388316151202749	0.0328655834564254
Crotone501_SAMPLE	Crotone501_SAMPLE	Italian	0.538403329549754	0.458569807037457	0.0240029542097489
Crotone502_SAMPLE	Crotone502_SAMPLE	Italian	0.614150943396226	0.420754716981132	0.0214180206794682
Crotone505_SAMPLE	Crotone505_SAMPLE	Italian	0.655259087393658	0.370069605568445	0.0450516986706056
Crotone510_SAMPLE	Crotone510_SAMPLE	Italian	0.63438582980362	0.422410473623412	0.0409896602658789
Crotone512_SAMPLE	Crotone512_SAMPLE	Italian	0.549981210071402	0.433295753476137	0.0173559822747415
Crotone514_SAMPLE	Crotone514_SAMPLE	Italian	0.636911487758945	0.433898305084746	0.0195716395864106
Crotone517_SAMPLE	Crotone517_SAMPLE	Italian	0.602851711026616	0.42851711026616	0.0288035450516987
Crotone518_SAMPLE	Crotone518_SAMPLE	Italian	0.589051368578928	0.410948631421072	0.0151403249630724
Guglionesi_336_SAMPLE	Guglionesi_336_SAMPLE	Italian	0.52218879277924	0.436630312147424	0.0180945347119645
Guglionesi_426_SAMPLE	Guglionesi_426_SAMPLE	Italian	0.474719101123595	0.447565543071161	0.0140324963072378
Guglionesi_427_SAMPLE	Guglionesi_427_SAMPLE	Italian	0.547735849056604	0.449433962264151	0.0214180206794682
Guglionesi_428_SAMPLE	Guglionesi_428_SAMPLE	Italian	0.528846153846154	0.462669683257919	0.0206794682422452
Guglionesi_429_SAMPLE	Guglionesi_429_SAMPLE	Italian	0.512313432835821	0.46865671641791	0.0103397341211226
Guglionesi_431_SAMPLE	Guglionesi_431_SAMPLE	Italian	0.52889634601044	0.473900074571216	0.00960118168389956
Guglionesi_432_SAMPLE	Guglionesi_432_SAMPLE	Italian	0.517540550735571	0.391550358355338	0.0210487444608567
Guglionesi_433_SAMPLE	Guglionesi_433_SAMPLE	Italian	0.55650876538605	0.466989929130921	0.00997045790251108
Guglionesi_434_SAMPLE	Guglionesi_434_SAMPLE	Italian	0.553167839940719	0.434234901815487	0.00332348596750369
Guglionesi_435_SAMPLE	Guglionesi_435_SAMPLE	Italian	0.556822429906542	0.433271028037383	0.0121861152141802
KAZ14001_SAMPLE	KAZ14001_SAMPLE	Spanish	0.980591497227357	0.0351201478743068	0.00110782865583456
KAZ14003_SAMPLE	KAZ14003_SAMPLE	Spanish	0.975255005666793	0.0464676992822063	0.0225258493353028
KAZ14032_SAMPLE	KAZ14032_SAMPLE	Spanish	0.971178876905913	0.0472294533283749	0.00701624815361891
KAZ14035_SAMPLE	KAZ14035_SAMPLE	Spanish	0.976868985936343	0.0433012583271651	0.00221565731166913
KAZ14053_SAMPLE	KAZ14053_SAMPLE	Spanish	0.970873786407767	0.0545182972367438	0.0110782865583456
KAZ14054_SAMPLE	KAZ14054_SAMPLE	Spanish	0.973635350909766	0.0423319717786855	0.00553914327917282
KAZ14055_SAMPLE	KAZ14055_SAMPLE	Spanish	0.967994045403796	0.0595459620394492	0.00775480059084195
KAZ14057_SAMPLE	KAZ14057_SAMPLE	Spanish	0.975815523059617	0.0416197975253093	0.0151403249630724
KAZ14059_SAMPLE	KAZ14059_SAMPLE	Spanish	0.971214953271028	0.0545794392523365	0.0121861152141802
KAZ14061_SAMPLE	KAZ14061_SAMPLE	Spanish	0.972862453531599	0.0513011152416357	0.00664697193500739
PD22NLD0146F_SAMPLE	PD22NLD0146F_SAMPLE	House	0.155309364548495	0.247909698996656	0.116691285081241
PD22NLD0147F_SAMPLE	PD22NLD0147F_SAMPLE	House	0.144865786109928	0.241158926288879	0.133308714918759
PDOM2022NLD0041J_SAMPLE	PDOM2022NLD0041J_SAMPLE	House	0.134965600971267	0.20922703358964	0.0875184638109306
PDOM2022NLD0042M_SAMPLE	PDOM2022NLD0042M_SAMPLE	House	0.122304978439828	0.196001568012544	0.0579763663220089
PDOM2022NLD0043F_SAMPLE	PDOM2022NLD0043F_SAMPLE	House	0.139118457300275	0.231011412829595	0.0616691285081241
PDOM2022NLD0044M_SAMPLE	PDOM2022NLD0044M_SAMPLE	House	0.158346036585366	0.249618902439024	0.0310192023633678
PDOM2022NLD0045M_SAMPLE	PDOM2022NLD0045M_SAMPLE	House	0.174095238095238	0.282666666666667	0.0306499261447563
PDOM2022NLD0046M_SAMPLE	PDOM2022NLD0046M_SAMPLE	House	0.186785986290937	0.256283320639756	0.0302806499261448
PDOM2022NLD0047F_SAMPLE	PDOM2022NLD0047F_SAMPLE	House	0.160997294163123	0.261693080788558	0.0446824224519941
PDOM2022NLD0048F_SAMPLE	PDOM2022NLD0048F_SAMPLE	House	0.13325517780383	0.211801484955061	0.0550221565731167
PDOM2022NLD0072M_SAMPLE	PDOM2022NLD0072M_SAMPLE	House	0.14344262295082	0.233021077283372	0.0539143279172821
PDOM2022NLD0077M_SAMPLE	PDOM2022NLD0077M_SAMPLE	Meerkerk	0.140953453453453	0.228603603603604	0.0162481536189069
PDOM2022NLD0078F_SAMPLE	PDOM2022NLD0078F_SAMPLE	House	0.133183306055646	0.197626841243863	0.0974889217134417
PDOM2022NLD0080F_SAMPLE	PDOM2022NLD0080F_SAMPLE	House	0.14005439005439	0.228049728049728	0.0494830132939439
PDOM2022NLD0081F_SAMPLE	PDOM2022NLD0081F_SAMPLE	House	0.173038630027877	0.242532855436081	0.0727474150664697
PDOM2022NLD0082F_SAMPLE	PDOM2022NLD0082F_SAMPLE	House	0.143910741301059	0.231089258698941	0.0236336779911374
