Sample_ID_1	Sample_ID_2	Population_1	Population_2	CHRType	K	Value
1	Crotone517	Crotone517	Crotone	Crotone	Allosome	K = 2	NA
2	Crotone517	Crotone505	Crotone	Crotone	Allosome	K = 2	0.053278
3	Crotone517	Crotone518	Crotone	Crotone	Allosome	K = 2	0.038693
4	Crotone517	Crotone510	Crotone	Crotone	Allosome	K = 2	0.065077
5	Crotone517	Crotone500	Crotone	Crotone	Allosome	K = 2	0.040116
6	Crotone517	Crotone502	Crotone	Crotone	Allosome	K = 2	0.072982
7	Crotone517	Crotone501	Crotone	Crotone	Allosome	K = 2	0.059697
8	Crotone517	Crotone514	Crotone	Crotone	Allosome	K = 2	0.072673
9	Crotone517	Crotone498	Crotone	Crotone	Allosome	K = 2	0.088739
10	Crotone517	Crotone512	Crotone	Crotone	Allosome	K = 2	0.113053
11	Crotone517	FR046	Crotone	Error	Allosome	K = 2	-0.046524
12	Crotone517	FR049	Crotone	Error	Allosome	K = 2	-0.070297
13	Crotone517	FR051	Crotone	Error	Allosome	K = 2	-0.087295
14	Crotone517	FR063	Crotone	Error	Allosome	K = 2	-0.071746
15	Crotone517	FR064	Crotone	Error	Allosome	K = 2	-0.033602
16	Crotone517	Guglionesi_433	Crotone	Guglionesi	Allosome	K = 2	0.07116
17	Crotone517	Guglionesi_426	Crotone	Guglionesi	Allosome	K = 2	0.013051
18	Crotone517	Guglionesi_431	Crotone	Guglionesi	Allosome	K = 2	0.048546
19	Crotone517	Guglionesi_336	Crotone	Guglionesi	Allosome	K = 2	0.034237
20	Crotone517	Guglionesi_428	Crotone	Guglionesi	Allosome	K = 2	0.051283
21	Crotone517	Guglionesi_429	Crotone	Guglionesi	Allosome	K = 2	0.049655
22	Crotone517	Guglionesi_434	Crotone	Guglionesi	Allosome	K = 2	0.020264
23	Crotone517	Guglionesi_435	Crotone	Guglionesi	Allosome	K = 2	0.038408
24	Crotone517	Guglionesi_427	Crotone	Guglionesi	Allosome	K = 2	0.036737
25	Crotone517	Guglionesi_432	Crotone	Guglionesi	Allosome	K = 2	0.022147
26	Crotone517	KAZ14001	Crotone	Error	Allosome	K = 2	-0.013895
27	Crotone517	KAZ14003	Crotone	Error	Allosome	K = 2	-0.015975
28	Crotone517	KAZ14032	Crotone	Error	Allosome	K = 2	0.027318
29	Crotone517	KAZ14035	Crotone	Error	Allosome	K = 2	-0.023898
30	Crotone517	KAZ14053	Crotone	Error	Allosome	K = 2	-0.003304
31	Crotone517	KAZ14054	Crotone	Error	Allosome	K = 2	-0.015015
32	Crotone517	KAZ14055	Crotone	Error	Allosome	K = 2	-0.04464
33	Crotone517	KAZ14057	Crotone	Error	Allosome	K = 2	-0.018804
34	Crotone517	KAZ14059	Crotone	Error	Allosome	K = 2	-0.010696
35	Crotone517	KAZ14061	Crotone	Error	Allosome	K = 2	-0.008229
36	Crotone517	Lesina_280	Crotone	Lesina	Allosome	K = 2	-0.052897
37	Crotone517	Lesina_281	Crotone	Lesina	Allosome	K = 2	-0.018094
38	Crotone517	Lesina_282	Crotone	Lesina	Allosome	K = 2	-0.013137
39	Crotone517	Lesina_285	Crotone	Lesina	Allosome	K = 2	0.005759
40	Crotone517	Lesina_286	Crotone	Lesina	Allosome	K = 2	-0.009015
41	Crotone517	Lesina_287	Crotone	Lesina	Allosome	K = 2	-0.0466
42	Crotone517	Lesina_288	Crotone	Lesina	Allosome	K = 2	-0.03498
43	Crotone517	Lesina_289	Crotone	Lesina	Allosome	K = 2	-0.052133
44	Crotone517	Lesina_292	Crotone	Lesina	Allosome	K = 2	-0.024562
45	Crotone517	Lesina_295	Crotone	Lesina	Allosome	K = 2	-0.003713
46	Crotone517	PDOM2022NLD0042M	Crotone	Error	Allosome	K = 2	-0.067516
47	Crotone517	PDOM2022NLD0044M	Crotone	Error	Allosome	K = 2	0.015976
48	Crotone517	PDOM2022NLD0045M	Crotone	Error	Allosome	K = 2	-0.020859
49	Crotone517	PDOM2022NLD0046M	Crotone	Error	Allosome	K = 2	-0.048916
50	Crotone517	PDOM2022NLD0072M	Crotone	Error	Allosome	K = 2	-0.022797
51	Crotone517	PDOM2022NLD0077M	Crotone	Error	Allosome	K = 2	-0.075425
52	Crotone517	PI22NLD0001M	Crotone	Error	Allosome	K = 2	-0.031396
53	Crotone505	Crotone517	Crotone	Crotone	Allosome	K = 2	0.081924
54	Crotone505	Crotone505	Crotone	Crotone	Allosome	K = 2	NA
55	Crotone505	Crotone518	Crotone	Crotone	Allosome	K = 2	0.041361
56	Crotone505	Crotone510	Crotone	Crotone	Allosome	K = 2	0.091649
