V9	V1	V4	V5	V8	V10	V2	V3	V6	V7	V12	V14	V11	V13	V15	V16	V17	V18	V19	V25	V21	V20	V22	V23	V24	V32	V31	V27	V28	V29	V33	V26	V30	V34	V35	V41	V36	V39	V42	V43	V37	V38	V40	V44	V45	V47	V50	V46	V48	V49	V51	V52
9	NA	0.035246	0.012006	0.00604	0.007098	-0.03694	-0.036933	0.002561	-0.006512	0.059782	-0.003379	-0.008099	0.010287	-0.018482	0.019912	0.00849	-0.01628	-0.00272	0.023798	-0.013219	-0.012798	0.007457	-0.012533	0.042581	-0.025414	-0.01636	-0.009348	0.029304	0.014616	-0.001385	-0.011869	-0.014441	-0.002092	0.00975	0.00064	-0.022982	-0.034652	0.02362	-0.01274	-0.018501	0.006792	0.012388	0.024109	-0.00217	0.025986	0.05242	0.00483	-0.023487	0.007972	-0.021247	-0.033459	0.013518
1	0.035246	NA	-0.060419	-0.021196	0.008706	-0.035205	-0.018507	0.06367	0.031332	0.010986	-0.003896	-0.016018	0.024749	0.021765	-0.025204	0.021616	-0.048477	0.014999	0.003378	0.007498	0.003032	-0.041613	-0.013424	0.048562	-0.01169	0.017926	-0.007219	0.02878	-0.034711	-0.007936	-0.018373	0.032099	-0.00904	0.005998	0.00845	-0.038718	0.01545	-0.044103	0.02138	-0.032477	0.050976	-0.005527	0.013533	0.009804	-0.000738	0.007345	-0.012388	-0.018511	-0.043748	0.015027	0.016985	0.033028
4	0.012006	-0.060419	NA	-0.042473	0.029617	0.055684	-0.02175	0.015636	-0.061613	0.043443	-0.035634	0.035175	0.011206	-0.010571	-0.000453	0.015681	-0.002126	0.001467	-0.075165	0.060376	0.035074	-0.00701	-0.05272	-0.019031	0.043285	-0.035275	0.01414	-0.010815	0.042902	-0.021511	0.010626	0.019137	0.006125	0.02038	-0.063259	0.028468	0.058912	0.005834	-0.047592	0.001881	-0.032262	7.1e-05	0.022983	-0.032302	0.007808	-0.013584	-0.031559	0.038398	0.044959	-0.01652	-0.017595	-0.003874
5	0.00604	-0.021196	-0.042473	NA	0.007976	-0.040124	0.028996	-0.002812	-0.00328	0.025079	-0.005256	-0.028741	0.022526	0.037605	-0.024739	-0.022755	0.052842	-0.001294	0.029289	-0.057732	0.026063	0.040765	0.019462	-0.030693	-0.049363	-0.017283	0.001579	0.004895	-6.3e-05	-0.008537	0.017993	-0.035426	0.0241	-0.004239	0.016238	0.008933	-0.015803	-0.01507	0.009958	0.015968	0.005361	-0.019001	-0.022077	0.042252	-0.010966	-0.032325	-0.01132	0.016353	-0.007304	-0.004099	0.03431	0.003467
8	0.007098	0.008706	0.029617	0.007976	NA	-0.042252	-0.026784	0.029706	0.042547	0.003433	0.013658	-0.007902	0.042917	-0.024327	-0.022089	0.066331	-0.038553	-0.033626	0.01091	-0.002612	-0.021512	-0.000868	0.053755	-0.021761	-0.013889	0.022482	-0.004893	-0.03431	0.044991	-0.00555	0.019551	0.014437	-0.033258	-0.018106	0.004399	0.002529	0.005528	-0.025398	0.00993	0.011645	0.002932	0.008888	-0.00398	-0.01627	-0.005943	0.006053	-0.02833	-0.005063	-0.00521	0.066965	-0.015965	-0.018138
10	-0.03694	-0.035205	0.055684	-0.040124	-0.042252	NA	0.02038	-0.032538	0.070478	-0.011285	0.018459	0.006338	-0.049144	-0.032652	0.054532	-0.051683	0.004547	-0.02549	0.03388	0.038992	-0.012056	0.014592	-0.044649	0.013084	0.036142	-0.00583	0.045076	-0.021837	-0.055035	0.007019	0.025936	-0.001616	-0.040673	0.007315	0.041732	-0.026639	0.006952	-0.011766	0.023803	0.01692	-0.040508	0.011687	0.012233	0.027497	-0.017411	0.008693	-0.010367	0.020245	-0.000734	-0.026741	0.012563	-0.004161
2	-0.036933	-0.018507	-0.02175	0.028996	-0.026784	0.02038	NA	0.001003	0.05178	-0.012194	-0.013379	0.03221	-0.01704	-0.000987	-0.001938	-0.015757	0.013438	0.032689	-0.00321	-0.028889	-0.013292	-0.011853	-0.009342	0.020196	0.021958	0.049277	-0.026163	-0.000897	0.024658	0.039266	-0.018085	-0.052522	0.005586	-0.004328	-0.009807	0.050111	-0.027653	0.036407	0.010273	-0.029776	-0.019757	-0.020065	-0.027389	0.002124	0.015649	0.006153	0.02943	0.006638	-0.026639	-0.024705	-0.000893	0.008805
3	0.002561	0.06367	0.015636	-0.002812	0.029706	-0.032538	0.001003	NA	-0.053986	-0.033223	-0.004752	-0.029087	0.040492	0.006464	-0.011116	-0.006141	0.016642	-0.002792	0.002858	-0.010318	-0.014555	0.002475	0.014331	0.008246	-0.00479	-0.037303	-0.035077	0.042179	-0.019625	-0.019249	0.00041	0.039197	0.014661	0.003302	0.005915	-0.016608	0.004284	0.003816	0.015998	-0.002873	0.04293	-0.022251	-0.00654	0.000878	-0.01125	-0.032587	0.015447	-0.02592	0.030219	0.049555	-0.043944	0.00864
6	-0.006512	0.031332	-0.061613	-0.00328	0.042547	0.070478	0.05178	-0.053986	NA	-0.063819	0.032623	-0.007553	-0.031467	0.017303	-0.011617	-0.006411	-0.009804	0.01142	-0.018389	0.022358	0.000983	-0.025936	0.036715	-0.014652	-0.001415	-0.007161	0.011525	-0.041154	-0.003604	0.001837	-0.029666	-0.018644	0.051945	-0.001244	0.039504	-0.024043	-0.014051	0.033519	-0.022768	0.023325	0.027875	-0.020501	0.008227	-0.025306	0.007614	0.012093	0.043952	-0.015587	-0.024369	-0.031491	0.000376	0.014494
7	0.059782	0.010986	0.043443	0.025079	0.003433	-0.011285	-0.012194	-0.033223	-0.063819	NA	0.004544	0.017521	-0.049013	-0.000394	0.02494	0.00302	0.008914	0.009592	0.002635	-0.024442	-0.001826	0.022856	-0.003645	-0.034977	-0.01238	0.027776	0.003735	0.008437	-0.007179	0.010705	0.000654	0.012251	-0.007312	-0.029097	-0.032272	0.02973	-0.008369	-0.005725	-0.012489	0.003352	-0.035265	0.053306	-0.010803	-0.008562	0.005229	0.009422	0.005144	-0.006982	0.017512	-0.011032	0.03322	-0.044574
