scaffold	start	end	mid	sites	lnL
chr1A	59763	244050	143634	50	-1499.73675
chr1A	244329	276235	270056	50	-2225.04317
chr1A	313965	448451	423440	50	-1820.46333
chr1A	459783	673069	614030	50	-1472.20136
chr1A	673072	794585	717171	50	-1585.10031
chr1A	794586	910819	857815	50	-1160.25322
chr1A	911374	1039316	984838	50	-1308.31712
chr1A	1039320	1077051	1052198	50	-1879.83246
chr1A	1077053	1223196	1144474	50	-1436.56620
chr1A	1223198	1335220	1269755	50	-1748.99416
chr1A	1335373	1484022	1420536	50	-1390.14005
chr1A	1484363	1611526	1574404	50	-1589.58980
chr1A	1612789	1773466	1693089	50	-1511.86124
chr1A	1776790	1804352	1798461	50	-1332.72391
chr1A	1804615	1815455	1810221	50	-1665.11456
chr1A	1815459	1816133	1815945	50	-1213.61646
chr1A	1816145	1826921	1820935	50	-1645.88219
chr1A	1826922	1827294	1827107	50	-1657.09801
chr1A	1827304	1839647	1830082	50	-1943.73521
chr1A	1841583	1915924	1883203	50	-1385.96829
chr1A	1915935	1978501	1949001	50	-1291.65877
chr1A	1978532	2042111	2009959	50	-1857.78913
chr1A	2042189	2202833	2098011	50	-1479.86731
chr1A	2234673	2340827	2288753	50	-1454.42796
chr1A	2340842	2429028	2397833	50	-1395.37548
chr1A	2429142	2555969	2469044	50	-1347.91930
chr1A	2556655	2780960	2665525	50	-1344.68685
chr1A	2781002	2931115	2848907	50	-1084.92644
chr1A	2936234	3259804	3060971	50	-1416.28127
chr1A	3266037	3903458	3661654	50	-1261.52788
chr1A	3916143	4149612	4027426	50	-1293.26457
chr1A	4149660	4310692	4197765	50	-1295.96102
chr1A	4310741	4358550	4339091	50	-1129.55529
chr1A	4365712	4518898	4429176	50	-1810.45281
chr1A	4520784	4582860	4547723	50	-1071.01019
chr1A	4582861	4666703	4620671	50	-1450.85258
chr1A	4667802	4723199	4688393	50	-1388.00848
chr1A	4723205	4767228	4746400	50	-967.70111
chr1A	4767500	4806836	4787460	50	-1356.70558
chr1A	4806848	4872028	4842714	50	-1208.21820
chr1A	4873464	4940556	4908309	50	-1359.71878
chr1A	4942685	5015088	4982911	50	-1247.55658
chr1A	5016734	5025507	5021044	50	-942.18619
chr1A	5028157	5047179	5040006	50	-977.98196
chr1A	5047192	5107926	5080961	50	-1147.48908
chr1A	5109755	5130702	5120325	50	-1332.01657
chr1A	5130812	5156913	5144255	50	-1126.00261
chr1A	5157577	5180490	5166343	50	-1105.46459
chr1A	5180507	5221677	5203279	50	-1131.27885
chr1A	5224553	5262212	5243063	50	-1216.48505
chr1A	5262288	5327332	5291859	50	-1385.53259
chr1A	5327341	5407380	5367492	50	-1129.95526
chr1A	5413085	5489907	5442078	50	-1196.34032
chr1A	5489908	5607649	5522296	50	-983.05768
chr1A	5607827	5737862	5669009	50	-1406.32903
chr1A	5737863	5862842	5816811	50	-1133.60359
chr1A	5862847	5933932	5895582	50	-913.57242
chr1A	5934673	6003603	5963287	50	-759.54657
chr1A	6005109	6085390	6061038	50	-1291.31312
chr1A	6087360	6408794	6250531	50	-1168.37540
chr1A	6438378	6503468	6485118	50	-1215.43107
chr1A	6503508	6517620	6507514	50	-1754.01310
chr1A	6528371	6613216	6560371	50	-852.82367
chr1A	6613275	7021445	6869971	50	-1365.57693
chr1A	7021519	7355576	7194154	50	-1252.47709
chr1A	7358888	7516171	7477239	50	-1820.08522
chr1A	7516177	7921972	7787987	50	-1227.55783
chr1A	7922064	8593680	8219784	50	-1498.29272
chr1A	8593689	8853917	8749717	50	-1148.23932
chr1A	8853922	9091332	8986142	50	-1096.23481
chr1A	9097189	9268706	9171951	50	-1051.82717
