scaffold	start	end	mid	sites	lnL
chr1A	59763	448451	279043	150	-8050.24364
chr1A	459783	910819	729672	150	-5806.48978
chr1A	911374	1223196	1060503	150	-6038.76498
chr1A	1223198	1611526	1421565	150	-6335.45613
chr1A	1612789	1815455	1767257	150	-6680.02774
chr1A	1815459	1827294	1821329	150	-6800.72502
chr1A	1827304	1978501	1887429	150	-6414.78883
chr1A	1978532	2340827	2132241	150	-6429.84426
chr1A	2340842	2780960	2510801	150	-5498.58324
chr1A	2781002	3903458	3190511	150	-5210.50737
chr1A	3916143	4358550	4188094	150	-5094.94484
chr1A	4365712	4666703	4532523	150	-6044.93545
chr1A	4667802	4806836	4740751	150	-5386.79462
chr1A	4806848	5015088	4911312	150	-5298.05064
chr1A	5016734	5107926	5047337	150	-4734.53147
chr1A	5109755	5180490	5143641	150	-5413.40830
chr1A	5180507	5327332	5246067	150	-5359.19377
chr1A	5327341	5607649	5443955	150	-4762.70632
chr1A	5607827	5933932	5793801	150	-5176.27027
chr1A	5934673	6408794	6091619	150	-4923.04542
chr1A	6438378	6613216	6517668	150	-5900.93979
chr1A	6613275	7516171	7180455	150	-6076.56155
chr1A	7516177	8853917	8252496	150	-5393.46292
chr1A	8853922	9385073	9164089	150	-4853.33541
chr1A	9386367	10058921	9779468	150	-5404.98389
chr1A	10061831	10513823	10280025	150	-5600.22011
chr1A	10516090	10689218	10612911	150	-5376.62187
chr1A	10690330	10928983	10824781	150	-4991.84356
chr1A	10928984	11197039	11080112	150	-5445.57784
chr1A	11197050	11309927	11274819	150	-4567.46758
chr1A	11309949	11425110	11361932	150	-5346.74370
chr1A	11425113	11772207	11637919	150	-5476.02726
chr1A	11772212	11879605	11820386	150	-5269.99186
chr1A	11879638	12019165	11923701	150	-5117.89823
chr1A	12019443	12397452	12205801	150	-5848.31184
chr1A	12398119	12495168	12452940	150	-5153.44530
chr1A	12496168	12677999	12579326	150	-5481.78660
chr1A	12678001	12934774	12828499	150	-5450.00956
chr1A	12939759	13178845	13035765	150	-4990.68566
chr1A	13178853	13359984	13258714	150	-5260.99580
chr1A	13361476	13490126	13423604	150	-5280.81560
chr1A	13490269	13661278	13580532	150	-4870.79256
chr1A	13661281	14440944	13944028	150	-4353.67994
chr1A	14466241	16338496	15715613	150	-4753.97415
chr1A	16341749	17208202	16735950	150	-5076.30013
