GeneID	GeneName	CHR	Start	End	upper	AIMs
IV00_00005894	CD2	chr1	4603452	4611817	CHECK	---
IV00_00005898	PTGFRN	chr1	4684963	4695835	CHECK	---
IV00_00006186	WNT11	chr1	14780673	14795197	CHECK	---
IV00_00006434	C1R	chr1	19785071	19791142	CHECK	---
IV00_00006436	Complement C1s	chr1	19793402	19801544	CHECK	---
IV00_00006439	LPCAT3	chr1	19810086	19822583	CHECK	---
IV00_00006440	EMG1	chr1	19823018	19826556	CHECK	---
IV00_00006441	PHB2	chr1	19826814	19833243	CHECK	---
IV00_00006443	PTPN6	chr1	19837499	19845586	CHECK	---
IV00_00006444	C12ORF57	chr1	19851547	19852050	CHECK	---
IV00_00006445	ATN1	chr1	19853923	19861692	CHECK	---
IV00_00006447	ENO2	chr1	19882629	19891395	CHECK	---
IV00_00006494	GAPDH	chr1	20222902	20226128	CHECK	---
IV00_00006496	NCAPD2	chr1	20233011	20258662	CHECK	---
IV00_00006500	MRPL51	chr1	20260136	20260977	CHECK	---
IV00_00006501	SYNAPTOBREVIN	chr1	20263545	20265490	CHECK	---
IV00_00006502	SCNN1A	chr1	20273448	20279896	CHECK	---
IV00_00006506	FBXO40	chr1	20307753	20311217	CHECK	---
IV00_00006508	KPNA1	chr1	20331803	20367823	CHECK	---
IV00_00006509	FAM162A	chr1	20372994	20382240	CHECK	---
IV00_00006688	CHD1L	chr1	22743119	22764743	CHECK	---
IV00_00006690	TMEM39A	chr1	22781327	22787638	CHECK	---
IV00_00006693	B4GALT4	chr1	22824208	22829893	CHECK	---
IV00_00006856	NME7	chr1	25911704	25951470	---	CHECK
IV00_00007117	ANKRD42	chr1	32670620	32683428	---	CHECK
IV00_00007121	PCF11	chr1	32687087	32702288	---	CHECK
IV00_00007850	FRY	chr1	46657241	46668146	CHECK	---
IV00_00007851	FRY	chr1	46676485	46717205	CHECK	---
IV00_00007853	ZAR1	chr1	46756911	46758766	CHECK	---
IV00_00007856	BRCA2	chr1	46778180	46803799	CHECK	---
IV00_00007857	N4BP2L1	chr1	46796877	46800424	CHECK	---
IV00_00007861	N4BP2L2	chr1	46846406	46849961	CHECK	---
IV00_00007864	PDS5B	chr1	46907218	46912684	CHECK	---
IV00_00007865	PDS5B	chr1	46918914	46924724	CHECK	---
IV00_00008116	Unknown	chr1	52477271	52482872	CHECK	---
IV00_00008120	LCP1	chr1	52551660	52572221	CHECK	---
IV00_00008122	CPB2	chr1	52580581	52593116	CHECK	---
IV00_00008124	ZC3H13	chr1	52612927	52639374	CHECK	---
IV00_00008837	HERC2	chr1	80738002	80802716	---	CHECK
IV00_00009498	RBBP7	chr1	96899626	96908207	CHECK	---
IV00_00009505	REPS2	chr1	96971541	97004617	CHECK	---
IV00_00009569	RAI2	chr1	97540412	97542079	CHECK	---
IV00_00009581	CDKL5	chr1	97748409	97758004	CHECK	---
IV00_00009586	RS1	chr1	97783717	97788439	CHECK	---
IV00_00018950	HMGA2	chr1A	31093482	31149279	CHECK	---
IV00_00019025	TSPAN8	chr1A	32986756	32999086	---	CHECK
IV00_00019031	ZFC3H1	chr1A	33194711	33227145	---	CHECK
IV00_00019539	TEF	chr1A	46185954	46189722	CHECK	---
IV00_00019542	ZC3H7B	chr1A	46212185	46248452	CHECK	---
IV00_00020150	SSPN	chr1A	54862205	54862627	---	CHECK
IV00_00020155	BHLHE41	chr1A	54889969	54891958	---	CHECK
IV00_00020232	BRAF	chr1A	56293988	56321527	---	CHECK
IV00_00020894	SOX5	chr1A	68955579	68970116	CHECK	---
IV00_00020941	BCAT1	chr1A	69656888	69662497	---	CHECK
IV00_00001457	MEP1B	chr2	41933074	41958759	CHECK	---
IV00_00001459	RNF138	chr2	41974437	41981607	CHECK	---
IV00_00001462	TRAPPC8	chr2	42011155	42044791	CHECK	---
IV00_00001463	TRAPPC8	chr2	42052759	42057542	CHECK	---
IV00_00001467	B4GALT6	chr2	42158960	42166312	CHECK	---
IV00_00001468	TTR	chr2	42169627	42180645	CHECK	---
IV00_00001469	Unknown	chr2	42195201	42199535	CHECK	---
IV00_00001471	DSG2	chr2	42207911	42227173	CHECK	---
IV00_00001474	DSG3	chr2	42240708	42261781	CHECK	---
IV00_00001478	DSC1	chr2	42357550	42432373	CHECK	---
IV00_00002096	SLC39A6	chr2	59699252	59714685	CHECK	---
IV00_00002098	FAM206A	chr2	59718026	59721614	CHECK	---
IV00_00002099	CTNNAL1	chr2	59721962	59725485	CHECK	---
IV00_00002100	CTNNAL1	chr2	59744046	59747115	CHECK	---
IV00_00002102	ELP2	chr2	59827624	59865187	CHECK	---
IV00_00003858	OXSM	chr2	109810556	109814530	CHECK	---
IV00_00003860	NGLY1	chr2	109819069	109840314	CHECK	---
IV00_00003862	TOP2B	chr2	109858112	109892912	CHECK	---
IV00_00003863	TOP2B	chr2	109894436	109916675	CHECK	---
IV00_00003864	RARB	chr2	109894968	109923423	CHECK	---
IV00_00003977	PLCL2	chr2	113177626	113186726	CHECK	---
IV00_00004202	GNIH	chr2	116132002	116141909	CHECK	---
IV00_00004204	CYC	chr2	116184099	116186651	CHECK	---
IV00_00004526	ANKIB1	chr2	125420767	125445462	CHECK	---
IV00_00004529	KRIT1	chr2	125505384	125522951	CHECK	---
IV00_00004530	CYP51A1	chr2	125528652	125538774	CHECK	---
IV00_00004531	AKAP9	chr2	125539555	125577728	CHECK	---
IV00_00004533	AKAP9	chr2	125585942	125590371	CHECK	---
IV00_00004534	AKAP9	chr2	125596555	125605238	CHECK	---
IV00_00004685	PTF1A	chr2	130876821	130877763	CHECK	---
IV00_00004941	SVIL	chr2	133718445	133726311	CHECK	---
