CHR	Start	End	GeneID	GeneName
chr1	25911704	25951470	IV00_00006856	NME7
chr1	32670620	32683428	IV00_00007117	Ankrd42
chr1	32687087	32702288	IV00_00007121	PCF11
chr1	80738002	80802716	IV00_00008837	HERC2
chr10	20884036	20912876	IV00_00036777	PPIP5K1
chr10	20926918	20940128	IV00_00036782	Map1a
chr11	116210	126161	IV00_00036803	TK2
chr11	205973	206218	IV00_00036807	SLU7
chr11	206319	207632	IV00_00036808	SLU7
chr11	223699	234767	IV00_00036811	CDH5
chr11	341680	346110	IV00_00036818	Unknown Function
chr12	2778652	2786439	IV00_00038346	UBA1
chr12	2787975	2789862	IV00_00038347	AMT
chr12	2790594	2793413	IV00_00038348	NICN1
chr12	2795883	2800253	IV00_00038349	DAG1
chr19	8824125	8824637	IV00_00048076	Unknown Function
chr19	8830708	8837347	IV00_00048077	LIMK1
chr19	8847580	8855250	IV00_00048078	Sept4
chr19	8867924	8872792	IV00_00048081	SBDS
chr19	8875302	8879842	IV00_00048083	TYW1
chr1A	32986756	32999086	IV00_00019025	TSPAN8
chr1A	33194711	33227145	IV00_00019031	ZFC3H1
chr1A	54862205	54862627	IV00_00020150	SSPN
chr1A	54889969	54891958	IV00_00020155	Bhlhe41
chr1A	56293988	56321527	IV00_00020232	BRAF
chr1A	69656888	69662497	IV00_00020941	BCAT1
chr23	289200	313747	IV00_00048905	L3MBTL3
chr23	321062	329340	IV00_00048908	Srsf4
chr23	333846	338663	IV00_00048911	MECR
chr23	372058	403001	IV00_00048915	PTPRU
chr27	1114352	1124065	IV00_00050714	Scn4a
chr27	1138920	1143206	IV00_00050718	GH
chr27	2012823	2023071	IV00_00050809	Arhgap27
chr27	2024676	2040279	IV00_00050810	PLEKHM1
chr3	39523874	39541141	IV00_00012227	KIF25
chr3	39554122	39585533	IV00_00012229	FRMD1
chr3	56785560	56802192	IV00_00013167	HBS1L
chr3	56805141	56816175	IV00_00013168	ALDH8A1
chr4	9722394	9730589	IV00_00015553	SETD7
chr4	32138113	32146149	IV00_00016590	TLL1
chr4	32163869	32165909	IV00_00016591	TLL1
chr4	52751387	52755153	IV00_00017235	PPARGC1A
chr5	17022428	17031480	IV00_00024149	SUV420H1
chr5	28400158	28400661	IV00_00024646	TMEM229B
chr5	28634779	28641809	IV00_00024661	ATP6V1D
chr5	28645966	28671047	IV00_00024662	MPP5
chr7	707142	708172	IV00_00029547	Gbx2
chr7	723558	725961	IV00_00029548	Asb18
chr7	888323	889417	IV00_00029559	Ackr3
chr7	999580	1015783	IV00_00029567	COPS8
chr8	26136150	26160328	IV00_00027963	SEC16B
chr8	37405033	37410938	IV00_00028768	HMGB3
scaffold00239	476282	483218	IV00_00052190	TANC2
scaffold00239	484024	498806	IV00_00052192	TANC2
