scaffold	start	end	mid	sites	lnL
scaffold00224	16389	205220	128327	50	-1448.23469
scaffold00224	205956	269664	252238	50	-1563.77354
scaffold00224	269665	270142	269820	50	-1133.41854
scaffold00224	270148	274829	271414	50	-1494.04152
scaffold00224	274830	368268	310542	50	-1531.52301
scaffold00224	368272	460989	391967	50	-1614.09078
scaffold00224	460994	510736	496016	50	-1926.55404
scaffold00224	607777	609550	609375	50	-1930.56361
scaffold00224	609552	610702	609901	50	-2238.58432
scaffold00224	610707	611136	610906	50	-1918.65860
scaffold00224	611137	623595	612261	50	-1934.51153
scaffold00224	623599	626112	624509	50	-1362.96051
scaffold00224	626113	627360	626970	50	-1830.02107
scaffold00224	627376	628941	628189	50	-1989.92968
scaffold00224	628945	807870	637967	50	-1534.77974
