scaffold	start	end	mid	sites	lnL
chr27	18143	21006	20504	50	-1180.94140
chr27	21024	21501	21277	50	-1519.11252
chr27	21502	22037	21754	50	-1861.59289
chr27	22053	22452	22223	50	-1267.18751
chr27	22453	25442	23297	50	-1253.67790
chr27	25452	38183	37502	50	-1055.42272
chr27	38201	45429	45072	50	-1129.89735
chr27	45449	53012	51255	50	-1519.15447
chr27	53017	54450	54027	50	-1098.82731
chr27	54457	84787	65207	50	-1402.90103
chr27	84800	113336	102991	50	-1507.29577
chr27	113337	115835	114992	50	-1833.94404
chr27	115848	131920	120444	50	-1770.00950
chr27	131938	165125	149265	50	-1926.84124
chr27	165126	165685	165434	50	-1396.23329
chr27	177410	233010	217282	50	-1988.20681
chr27	233015	233345	233150	50	-1519.64993
chr27	233349	235571	233647	50	-1314.94707
chr27	235581	303642	271471	50	-938.01717
chr27	303973	386921	358559	50	-603.31860
chr27	386951	454667	413106	50	-893.26764
chr27	454676	471591	464929	50	-1762.64516
chr27	471592	505146	476713	50	-1365.79769
chr27	505800	589997	541542	50	-939.42475
chr27	591615	663947	643005	50	-1150.78347
chr27	663969	747811	707652	50	-848.54718
chr27	749598	796117	767711	50	-594.54386
chr27	796130	871131	830764	50	-1351.21110
chr27	871135	1008556	941839	50	-1044.36268
chr27	1009293	1033128	1024305	50	-792.51795
chr27	1034254	1082090	1053925	50	-923.17245
chr27	1082098	1125695	1108701	50	-721.07477
chr27	1126007	1149077	1141607	50	-970.36670
chr27	1149083	1153697	1152724	50	-1738.15252
chr27	1153700	1154541	1154029	50	-1499.04854
chr27	1154548	1162694	1157517	50	-1452.93062
chr27	1162695	1197783	1180532	50	-865.81456
chr27	1198397	1248967	1223231	50	-1303.96219
chr27	1248990	1303006	1264231	50	-1156.57691
chr27	1304611	1355052	1333915	50	-1094.51729
chr27	1355059	1391379	1374761	50	-981.25412
chr27	1391399	1422321	1404201	50	-910.33895
chr27	1422766	1444807	1433814	50	-959.31345
chr27	1444923	1516209	1488172	50	-1224.67068
chr27	1516256	1572244	1543182	50	-1290.46135
chr27	1573972	1590541	1582955	50	-1137.79149
chr27	1590557	1620696	1610518	50	-853.35469
chr27	1620741	1657658	1643740	50	-1204.22680
chr27	1657670	1702544	1685178	50	-890.70987
chr27	1705355	1729708	1717946	50	-944.64763
chr27	1729781	1758432	1746844	50	-902.39499
chr27	1764213	1816529	1786528	50	-886.20413
chr27	1816573	1867292	1839909	50	-802.32522
chr27	1867309	1895588	1884640	50	-923.75416
chr27	1895608	1988871	1941505	50	-1000.74402
chr27	2000495	2030961	2010759	50	-1003.69945
chr27	2031056	2062991	2047533	50	-817.54547
chr27	2062997	2072029	2068109	50	-1686.54418
chr27	2072031	2120263	2104837	50	-1250.30341
chr27	2120270	2120949	2120675	50	-1444.85808
chr27	2120950	2121970	2121803	50	-1647.62441
chr27	2121971	2122398	2122202	50	-1484.56416
chr27	2122407	2122856	2122678	50	-1592.14061
chr27	2122859	2123211	2122985	50	-1430.41032
chr27	2123220	2195719	2138116	50	-1440.57201
chr27	2195730	2221588	2200179	50	-1302.50175
chr27	2229245	2344117	2311717	50	-1917.90240
chr27	2344118	2353971	2345461	50	-2099.42423
chr27	2353979	2427676	2392534	50	-1817.74562
chr27	2427679	2442370	2434506	50	-1234.86468
chr27	2442371	2464688	2457051	50	-1325.27166
chr27	2464764	2471921	2469027	50	-1224.73849
chr27	2472063	2483685	2477878	50	-1530.97129
chr27	2485421	2493745	2490150	50	-1505.36914
chr27	2493775	2500047	2497747	50	-1240.85607
chr27	2500104	2514072	2506889	50	-1358.99799
chr27	2514085	2524990	2520880	50	-1310.59509
chr27	2524997	2541807	2535332	50	-1267.07824
chr27	2541809	2549340	2546034	50	-1332.05934
chr27	2549352	2558518	2554897	50	-1492.17436
chr27	2558553	2565331	2562672	50	-623.66690
chr27	2565339	2578392	2569563	50	-1016.17416
chr27	2578409	2586358	2581707	50	-1064.92115
chr27	2586400	2593424	2590288	50	-1100.95526
chr27	2593436	2597157	2595229	50	-893.38030
chr27	2597175	2605702	2602017	50	-1298.58329
chr27	2605719	2615888	2611732	50	-1235.10927
chr27	2615927	2623926	2619562	50	-1018.55610
chr27	2623946	2658869	2637954	50	-1182.40506
chr27	2658890	2671061	2666129	50	-1140.56677
chr27	2671195	2681130	2678327	50	-1193.89182
chr27	2681132	2695095	2687316	50	-1063.84418
chr27	2695101	2705144	2698405	50	-1080.97531
chr27	2705181	2711592	2708300	50	-1160.86728
chr27	2711600	2727960	2717471	50	-1126.36785
