scaffold	start	end	mid	sites	lnL
scaffold00221	3269	44868	24657	50	-1178.08141
scaffold00221	45511	150111	107033	50	-1003.65008
scaffold00221	150157	222371	196829	50	-1072.14749
scaffold00221	222417	301594	251710	50	-1247.03320
scaffold00221	301612	347242	335656	50	-1683.23749
scaffold00221	347254	363845	355099	50	-1155.56835
scaffold00221	369508	450258	417207	50	-1333.38037
scaffold00221	450589	500249	479023	50	-1062.57820
scaffold00221	500250	609314	552468	50	-1137.64061
scaffold00221	613507	615400	615142	50	-1670.13473
scaffold00221	615407	680340	646416	50	-1590.72406
scaffold00221	685283	770290	717411	50	-765.70466
