scaffold	start	end	mid	sites	lnL
chr21	12583	135464	95302	50	-1254.57115
chr21	136032	310162	211673	50	-1199.51129
chr21	312897	537345	416181	50	-1481.19331
chr21	538765	606821	580612	50	-1414.19828
chr21	608877	656586	630468	50	-1028.59742
chr21	664820	763523	719719	50	-1210.69279
chr21	769588	995911	899935	50	-1475.88969
chr21	996017	1161509	1123195	50	-1278.01945
chr21	1161544	1196563	1175067	50	-1615.51455
chr21	1198736	1263938	1241328	50	-1535.36822
chr21	1264140	1300016	1285032	50	-1314.66635
chr21	1302123	1359740	1322414	50	-1515.72761
chr21	1359788	1382924	1370866	50	-1467.27379
chr21	1385413	1412671	1403838	50	-1423.87832
chr21	1412672	1432968	1418263	50	-1435.24879
chr21	1433055	1467503	1452114	50	-1322.82767
chr21	1467626	1485790	1478059	50	-1415.03575
chr21	1485979	1517559	1502683	50	-1658.99102
chr21	1519148	1549982	1529352	50	-1497.27019
chr21	1550286	1572961	1563328	50	-1069.78412
chr21	1573142	1590133	1582128	50	-1118.56005
chr21	1590464	1608202	1602484	50	-1031.47279
chr21	1608223	1616630	1612452	50	-1171.74236
chr21	1616631	1636812	1625899	50	-1131.86883
chr21	1636821	1664855	1649002	50	-1119.23705
chr21	1665136	1687986	1675236	50	-1397.98443
chr21	1688064	1697939	1693655	50	-1057.54088
chr21	1698087	1705599	1701751	50	-1547.56798
chr21	1705907	1721007	1712929	50	-1424.79000
chr21	1721220	1757628	1742344	50	-1347.09992
chr21	1758998	1811405	1788581	50	-1590.41506
chr21	1811524	1861297	1838074	50	-1321.79448
chr21	1861307	1896977	1880340	50	-1716.90367
chr21	1897425	1923286	1911371	50	-1382.03990
chr21	1923344	1951047	1941204	50	-1046.80874
chr21	1951299	1983148	1964891	50	-1174.08489
chr21	1983151	2047238	2017286	50	-968.70727
chr21	2047258	2111426	2072243	50	-1245.43886
chr21	2111441	2193679	2137833	50	-1064.62523
chr21	2193957	2261632	2225802	50	-1432.64879
chr21	2264255	2495198	2392419	50	-1391.79110
chr21	2495348	2575917	2534144	50	-1408.95589
chr21	2575958	2777981	2683554	50	-1590.08262
chr21	2778086	2861506	2807578	50	-1006.38066
chr21	2863597	2888092	2875775	50	-1306.81744
chr21	2888156	2906513	2896578	50	-1062.19580
chr21	2907229	2945318	2928820	50	-1316.59025
chr21	2945392	2983777	2961044	50	-1442.05317
chr21	2983845	3023895	3010804	50	-1035.01267
chr21	3023896	3063834	3042280	50	-1099.92532
chr21	3063910	3125530	3101414	50	-1343.87496
chr21	3125843	3198596	3154981	50	-1577.73156
chr21	3199916	3230591	3222821	50	-920.75802
chr21	3231986	3253451	3243681	50	-1135.33330
chr21	3253718	3283192	3266652	50	-1037.31538
chr21	3283222	3366374	3318935	50	-1808.80018
chr21	3366417	3521865	3429223	50	-1628.93975
chr21	3522141	3614504	3569774	50	-1273.29233
chr21	3614864	3673314	3640404	50	-1442.45642
chr21	3673351	3709993	3691222	50	-1219.00905
chr21	3712568	3750893	3734573	50	-1349.45785
chr21	3750903	3777246	3762857	50	-1095.88601
chr21	3777270	3815308	3797542	50	-1047.07896
chr21	3815328	3871506	3829954	50	-828.32058
chr21	3879736	3994625	3946126	50	-1191.46104
chr21	3994641	4047522	4031680	50	-1315.46045
chr21	4047526	4081204	4055756	50	-905.94164
chr21	4081833	4136930	4114752	50	-665.70762
chr21	4136986	4170489	4162873	50	-720.62311
chr21	4170765	4231361	4205985	50	-659.38708
chr21	4232215	4324730	4275968	50	-886.02291
chr21	4324831	4400005	4359175	50	-844.48320
chr21	4400838	4468990	4442399	50	-1205.60838
chr21	4469265	4873474	4578838	50	-1251.08946
chr21	4873486	4945460	4902153	50	-651.69362
chr21	4945503	5046817	4995629	50	-603.67432
chr21	5049379	5092195	5068456	50	-600.65137
chr21	5097501	5155650	5129458	50	-585.80084
chr21	5155690	5190485	5179634	50	-867.60247
chr21	5191850	5211205	5203849	50	-649.92551
chr21	5211277	5250098	5239661	50	-1341.93001
chr21	5250099	5277174	5263995	50	-539.43541
chr21	5277196	5329755	5304184	50	-461.05508
chr21	5329845	5343209	5339549	50	-809.52074
chr21	5343210	5408519	5363890	50	-822.55103
chr21	5409540	5434443	5421850	50	-328.48762
chr21	5435481	5511441	5477719	50	-357.40449
chr21	5513125	5556430	5535098	50	-438.87434
chr21	5556431	5633431	5590965	50	-346.53225
chr21	5633460	5661949	5648863	50	-1466.29303
chr21	5661955	5673182	5664316	50	-1624.41334
