scaffold	start	end	mid	sites	lnL
chr2	9664	225865	142201	150	-6574.19908
chr2	227792	901487	550379	150	-6752.29858
chr2	901492	910040	904794	150	-6695.32131
chr2	910041	1785301	1263034	150	-5739.83192
chr2	1845632	2084291	2060756	150	-6538.56926
chr2	2084293	2377277	2300938	150	-7675.18275
chr2	2377307	2466725	2408404	150	-6092.60407
chr2	2466757	2548578	2486920	150	-6674.24673
chr2	2550757	2662123	2610271	150	-4594.43477
chr2	2662125	2859937	2740333	150	-5524.64124
chr2	2860175	3271432	3069383	150	-6133.73215
chr2	3271446	3272599	3272038	150	-6307.97345
chr2	3272605	3716393	3508573	150	-5649.88692
chr2	3722456	4125337	3949567	150	-5184.90782
chr2	4129878	4485935	4229275	150	-5722.34446
chr2	4497703	5020923	4930528	150	-6055.66484
chr2	5020928	5655466	5173347	150	-7747.01035
chr2	5655468	5774295	5752502	150	-5688.42576
chr2	5774309	5874179	5797821	150	-5516.24306
chr2	5874228	6266709	6092866	150	-5596.29381
chr2	6266716	6418424	6347509	150	-4649.90029
chr2	6425988	6598678	6502441	150	-5185.33035
chr2	6598941	6845402	6720761	150	-5437.74561
chr2	6857279	7138316	6999984	150	-4695.70055
chr2	7138317	7514080	7347926	150	-5538.28729
chr2	7518738	7898377	7756014	150	-5426.55981
chr2	7898389	8188893	8035585	150	-5326.47052
chr2	8189046	8286782	8229137	150	-4596.41612
chr2	8286802	8768375	8554696	150	-4930.54206
chr2	8768415	8923798	8840375	150	-4975.65870
chr2	8923879	9301384	9120660	150	-5165.51895
chr2	9306598	9649492	9467814	150	-4911.04718
chr2	9656298	9971209	9795526	150	-5289.29394
chr2	9971216	10185208	10075984	150	-6090.10003
chr2	10185454	10384433	10296861	150	-5747.31373
chr2	10385501	10531234	10470698	150	-5803.85054
chr2	10531258	10631033	10564293	150	-5372.77413
chr2	10632462	10808595	10720114	150	-5705.24936
chr2	10811147	10989012	10890888	150	-5516.27898
chr2	10991942	11306172	11170192	150	-4993.95987
chr2	11309522	11640637	11494954	150	-6007.47621
chr2	11640652	11937995	11822314	150	-6424.28919
chr2	11937996	12327569	12131643	150	-5261.08188
chr2	12341685	12577527	12454788	150	-5381.28257
chr2	12582595	12721894	12637742	150	-4317.63739
chr2	12722047	12909451	12820562	150	-5655.51320
chr2	12909614	13141970	13007077	150	-5487.85980
chr2	13142097	13603282	13308254	150	-4996.86461
chr2	13604834	15827104	14433663	150	-5822.42527
chr2	15827111	16265433	16058213	150	-4790.41749
chr2	16269359	16527478	16364838	150	-4530.41394
chr2	16527483	17281151	16874480	150	-5142.10007
chr2	17296738	18113904	17644414	150	-4294.21344
chr2	18115825	18801312	18437502	150	-4807.33541
chr2	18801326	18947803	18886253	150	-5513.52347
chr2	18948991	19107232	18996718	150	-6241.34661
chr2	19107234	19232219	19168199	150	-5186.08749
chr2	19232223	19322085	19271550	150	-4918.75726
chr2	19322121	19458521	19401989	150	-5211.35067
chr2	19458524	19527390	19490389	150	-5453.76146
chr2	19528494	19677839	19602600	150	-5229.84276
chr2	19678428	19970379	19816076	150	-5253.65891
chr2	19970420	20603324	20349743	150	-5998.61194
chr2	20607982	20859365	20725075	150	-6084.23495
chr2	20859382	21070133	20952267	150	-5575.50255
chr2	21070172	21340948	21195855	150	-5810.80559
chr2	21341563	21470511	21405202	150	-5212.33970
chr2	21470533	21628284	21530874	150	-5141.65859
chr2	21628456	21846679	21753831	150	-4854.72091
chr2	21846839	22020967	21936590	150	-5747.74550
chr2	22020981	22211537	22126898	150	-5371.84369
chr2	22212432	22412648	22320257	150	-5320.49619
chr2	22414863	22748989	22578026	150	-4898.18835
chr2	22749790	23274243	23000027	150	-4494.25879
chr2	23274280	23666044	23446181	150	-4128.73242
chr2	23669150	24074639	23888081	150	-4507.57729
chr2	24079641	25411935	24739610	150	-4612.37762
chr2	25411944	25481615	25473637	150	-5668.39768
chr2	25481625	26252166	25651606	150	-4796.52119
