scaffold	start	end	mid	sites	lnL
chrZ	457616	1334305	843441	50	-811.78988
chrZ	1334317	1888861	1683832	50	-1714.32866
chrZ	1888903	1889521	1889182	50	-1703.88892
chrZ	1889524	2481681	2063210	50	-1403.69022
chrZ	2742112	3311140	2767612	50	-1745.45078
chrZ	3311166	6652231	4353856	50	-1664.24076
chrZ	6652235	8022570	7042166	50	-1671.44282
chrZ	8022572	11203552	10128464	50	-1792.94028
chrZ	11203553	11203973	11203759	50	-1383.60604
chrZ	11203975	11204309	11204119	50	-1492.17197
chrZ	11204321	11205394	11204892	50	-1572.10703
chrZ	11205396	11206836	11206212	50	-1724.05760
chrZ	11206838	11207646	11207100	50	-1430.17749
chrZ	11207648	11208366	11207955	50	-1546.31069
chrZ	11208367	11208754	11208568	50	-1717.37132
chrZ	11208771	11209190	11208986	50	-1891.60260
chrZ	11209195	11211681	11209597	50	-1577.45919
chrZ	11211693	11217431	11215507	50	-1457.89860
chrZ	11217439	11223107	11218903	50	-1773.50247
chrZ	11223111	11223702	11223318	50	-1607.43992
chrZ	11223705	11224143	11223976	50	-1197.89294
chrZ	11224150	11224629	11224423	50	-1350.57786
chrZ	11224645	11233503	11228169	50	-1796.90794
chrZ	11233512	11234141	11233689	50	-1690.95956
chrZ	11234148	11237209	11236034	50	-2027.24100
chrZ	11237210	11237793	11237487	50	-1329.90141
chrZ	11237795	11238074	11237944	50	-1614.10103
chrZ	11238076	11245477	11242521	50	-1024.74764
chrZ	11246166	11250948	11249539	50	-1438.53212
chrZ	11251041	11322977	11255628	50	-1289.15235
chrZ	11322987	11442149	11379351	50	-1364.00335
chrZ	11442150	11446377	11443369	50	-1445.47644
chrZ	11446379	11447110	11446665	50	-1213.87365
chrZ	11447150	11592200	11463722	50	-1408.40500
chrZ	11592224	11697666	11663917	50	-1320.03505
chrZ	11697710	11704456	11700504	50	-1144.48532
chrZ	11704560	11710177	11707737	50	-1016.66303
chrZ	11710204	11721324	11713150	50	-1465.68263
chrZ	11721338	11724236	11721979	50	-1404.58802
chrZ	11724259	11731813	11727244	50	-773.97119
chrZ	11731838	11958831	11757895	50	-1296.27844
chrZ	11958833	12089469	12086691	50	-1622.93450
chrZ	12089475	12089904	12089658	50	-1422.64734
chrZ	12089905	12090179	12090027	50	-1193.49074
chrZ	12090185	12090557	12090364	50	-1595.89648
chrZ	12090568	12091281	12090802	50	-1142.85697
chrZ	12091304	12091540	12091416	50	-1563.40984
chrZ	12091549	12093977	12092217	50	-1626.87345
chrZ	12094056	12112559	12111312	50	-1111.54804
chrZ	12112560	12113184	12112979	50	-2404.73714
chrZ	12113185	12118875	12118203	50	-1942.80255
chrZ	12118879	12128799	12128406	50	-1366.01044
