scaffold	start	end	mid	sites	lnL
chrZ	457616	1334305	843441	50	-809.13270
chrZ	1334317	1888861	1683832	50	-1729.81388
chrZ	1888903	1889521	1889182	50	-1717.86855
chrZ	1889524	2481681	2063210	50	-1359.15174
chrZ	2742112	3311140	2767612	50	-1711.59001
chrZ	3311166	6652231	4353856	50	-1652.47920
chrZ	6652235	8022570	7042166	50	-1653.42396
chrZ	8022572	11203552	10128464	50	-1777.28833
chrZ	11203553	11203973	11203759	50	-1381.06745
chrZ	11203975	11204309	11204119	50	-1483.51169
chrZ	11204321	11205394	11204892	50	-1538.80703
chrZ	11205396	11206836	11206212	50	-1759.79793
chrZ	11206838	11207646	11207100	50	-1429.13235
chrZ	11207648	11208366	11207955	50	-1547.64530
chrZ	11208367	11208754	11208568	50	-1739.87362
chrZ	11208771	11209190	11208986	50	-1913.12645
chrZ	11209195	11211681	11209597	50	-1570.29692
chrZ	11211693	11217431	11215507	50	-1433.16256
chrZ	11217439	11223107	11218903	50	-1783.04424
chrZ	11223111	11223702	11223318	50	-1630.76637
chrZ	11223705	11224143	11223976	50	-1198.93895
chrZ	11224150	11224629	11224423	50	-1352.52905
chrZ	11224645	11233503	11228169	50	-1837.38876
chrZ	11233512	11234141	11233689	50	-1707.20900
chrZ	11234148	11237209	11236034	50	-2000.21869
chrZ	11237210	11237793	11237487	50	-1330.05362
chrZ	11237795	11238074	11237944	50	-1602.09638
chrZ	11238076	11245477	11242521	50	-998.30504
chrZ	11246166	11250948	11249539	50	-1408.57139
chrZ	11251041	11322977	11255628	50	-1289.12400
chrZ	11322987	11442149	11379351	50	-1372.12605
chrZ	11442150	11446377	11443369	50	-1437.73437
chrZ	11446379	11447110	11446665	50	-1216.09589
chrZ	11447150	11592200	11463722	50	-1406.68617
chrZ	11592224	11697666	11663917	50	-1295.92994
chrZ	11697710	11704456	11700504	50	-1163.10035
chrZ	11704560	11710177	11707737	50	-1008.61255
chrZ	11710204	11721324	11713150	50	-1476.68066
chrZ	11721338	11724236	11721979	50	-1412.42871
chrZ	11724259	11731813	11727244	50	-773.97119
chrZ	11731838	11958831	11757895	50	-1278.67124
chrZ	11958833	12089469	12086691	50	-1644.24613
chrZ	12089475	12089904	12089658	50	-1423.01145
chrZ	12089905	12090179	12090027	50	-1246.98455
chrZ	12090185	12090557	12090364	50	-1612.87811
chrZ	12090568	12091281	12090802	50	-1167.40079
chrZ	12091304	12091540	12091416	50	-1552.89091
chrZ	12091549	12093977	12092217	50	-1610.77984
chrZ	12094056	12112559	12111312	50	-1114.79356
chrZ	12112560	12113184	12112979	50	-2416.09984
chrZ	12113185	12118875	12118203	50	-1929.99977
chrZ	12118879	12128799	12128406	50	-1386.95022
chrZ	12128813	12135401	12132786	50	-1997.31265
chrZ	12135410	12136429	12135757	50	-1505.90732
chrZ	12136435	12136743	12136613	50	-1909.16367
chrZ	12136756	12137081	12136928	50	-1635.19510
chrZ	12137083	12140112	12138989	50	-1966.27193
chrZ	12140119	12146319	12141313	50	-2117.23117
chrZ	12146320	12146647	12146476	50	-1939.20145
chrZ	12146656	12147291	12147113	50	-1516.59901
chrZ	12147297	12147587	12147441	50	-2075.77217
chrZ	12147593	12155308	12151554	50	-1706.54460
chrZ	12155315	12156441	12155746	50	-1312.94685
chrZ	12156446	12158212	12157923	50	-1726.20844
chrZ	12158221	12160432	12158626	50	-1420.48101
chrZ	12160440	12205133	12184953	50	-1828.72813
