GeneID	CHR	Start	End	Region Length	Number of SNPs	Coverage	Private Homo Alternative	Private Homo Ref. or Hetero
IV00_00015896	chr4	19597087	19643867	46781	18	0.0385	0	0
IV00_00016654	chr4	34530499	34562689	32191	8	0.0249	0	0
IV00_00016726	chr4	38018179	38051574	33396	24	0.0719	0	0
IV00_00038225	chr12	1267154	1299273	32120	21	0.0654	0	0
IV00_00038223	chr12	1234393	1279437	45045	27	0.0599	0	0
IV00_00051423	chr28	824102	859000	34899	84	0.2407	0	0
IV00_00022782	chrZ	58274995	58314807	39813	0	0	0	0
IV00_00008839	chr1	80794021	80828471	34451	15	0.0435	0	0
IV00_00008837	chr1	80723002	80817716	94715	23	0.0243	0	0
ENSTGUT00000010894.2, ENSTGUT00000025229.1, ENSTGUT00000045867.1	chr1	80993875	81026517	32643	9	0.0276	0	0
ENSTGUT00000034149.1, ENSTGUT00000036307.1	chr20	13067029	13099255	32227	10	0.031	0	0
ENSTGUT00000045010.1	chrZ	61160606	61186850	26245	3	0.0114	0	0
ENSTGUT00000003914.2	scaffold01715	0	15014	15015	0	0	0	0
