scaffold	start	end	mid	sites	lnL
chr4	113	17299	5551	50	-1147.40326
chr4	25778	201600	111370	50	-567.10125
chr4	203194	275198	232178	50	-764.12033
chr4	275708	359418	307046	50	-927.42700
chr4	359428	507745	435451	50	-715.14656
chr4	507758	621378	574292	50	-852.36773
chr4	621571	748719	675525	50	-773.79132
chr4	767570	866160	828960	50	-945.29055
chr4	866397	898749	886086	50	-685.73988
chr4	898782	951014	920300	50	-910.88080
chr4	956309	1005953	982979	50	-1383.79740
chr4	1006261	1056357	1036029	50	-795.35625
chr4	1056411	1108375	1081845	50	-837.29874
chr4	1108476	1221557	1182152	50	-832.51666
chr4	1221606	1262606	1241958	50	-637.89057
chr4	1262664	1284284	1278076	50	-605.33746
chr4	1284333	1308316	1295412	50	-814.09609
chr4	1308334	1331337	1319097	50	-689.62664
chr4	1331340	1378579	1353823	50	-676.85194
chr4	1378651	1431451	1415353	50	-815.99485
chr4	1433138	1459109	1445188	50	-1142.34875
chr4	1459209	1503688	1492058	50	-1186.45961
chr4	1503705	1526697	1517161	50	-1239.75692
chr4	1526698	1557438	1538579	50	-953.52769
chr4	1558294	1592689	1578446	50	-852.12756
chr4	1592866	1616741	1605070	50	-680.25957
chr4	1617001	1631730	1625000	50	-564.42844
chr4	1634354	1651608	1644088	50	-801.43855
chr4	1651635	1678309	1665857	50	-669.93749
chr4	1678313	1695633	1689415	50	-570.04050
chr4	1695635	1716074	1707417	50	-765.66376
chr4	1716117	1724440	1721114	50	-926.55549
chr4	1724523	1734841	1730418	50	-807.95730
chr4	1735100	1747469	1741956	50	-842.65994
chr4	1747531	1771465	1759768	50	-885.60749
chr4	1771491	1805619	1787123	50	-1106.06226
chr4	1805620	1831096	1814647	50	-1367.18936
chr4	1831100	1859417	1844813	50	-1261.82955
chr4	1861607	1903756	1883975	50	-1564.04827
chr4	1903763	1938531	1912810	50	-1593.23981
chr4	1941562	1996946	1960695	50	-824.78310
chr4	1997009	2077726	2042774	50	-850.21491
chr4	2083616	2147122	2119576	50	-756.59125
chr4	2147731	2210207	2175212	50	-980.68940
chr4	2213695	2240183	2231627	50	-713.61003
chr4	2240200	2318051	2270775	50	-800.15888
chr4	2318956	2417405	2374589	50	-833.67415
chr4	2419351	2497184	2466666	50	-770.42583
chr4	2497196	2538551	2514542	50	-861.39563
chr4	2538661	2561004	2551297	50	-742.55484
chr4	2561203	2593530	2575021	50	-844.45320
chr4	2594457	2615677	2604097	50	-844.21208
chr4	2616157	2666269	2630987	50	-764.83363
chr4	2666271	2718496	2698310	50	-909.92181
chr4	2718504	2967632	2846717	50	-1291.10193
chr4	2970290	3067472	3016972	50	-1214.08596
chr4	3067522	3125831	3087770	50	-1270.97972
chr4	3126714	3191077	3157742	50	-1012.71369
chr4	3199860	3307581	3247289	50	-1152.41111
chr4	3307592	3483196	3425160	50	-1296.76746
chr4	3489319	3620497	3550302	50	-1312.88848
chr4	3630795	3773379	3734831	50	-1284.59043
chr4	3773439	3831887	3793002	50	-841.73020
chr4	3832181	3961298	3900761	50	-1530.81207
chr4	3961302	4066703	4016374	50	-1160.87038
chr4	4066816	4222143	4160495	50	-1293.56742
chr4	4224713	4285353	4257512	50	-1179.60756
chr4	4285439	4492067	4407997	50	-1230.76135
chr4	4492103	4551077	4519939	50	-1361.47247
chr4	4559303	4800355	4685945	50	-1182.24348
chr4	4802133	4910837	4848413	50	-952.80646
chr4	4918713	5052006	4984297	50	-1172.93243
chr4	5054251	5241940	5109030	50	-1248.35948
chr4	5241976	5556009	5425138	50	-1177.48142
chr4	5556010	5557200	5556679	50	-578.52560
chr4	5557216	5562773	5558486	50	-775.18145
chr4	5562840	5566128	5565746	50	-1026.04724
chr4	5566161	5726732	5616996	50	-1172.28635
chr4	5726753	5887360	5825700	50	-855.08528
chr4	5889020	6022294	5960659	50	-1368.54938
chr4	6039343	6193935	6100448	50	-943.14527
chr4	6193944	6632343	6396557	50	-1298.56653
chr4	6632350	6927215	6704580	50	-1167.90407
chr4	6927276	7241638	7090026	50	-1068.24983
chr4	7241655	7330236	7273914	50	-710.95884
chr4	7330256	7814469	7537570	50	-1075.40296
chr4	7814495	8102880	7849362	50	-1375.37149
chr4	8114255	8979165	8461263	50	-839.94330
chr4	8985751	9167679	9084024	50	-872.28968
chr4	9167687	9298055	9278654	50	-1916.22420
chr4	9298076	9409284	9361066	50	-1274.82148
chr4	9409286	9409842	9409631	50	-1379.55409
chr4	9409850	9410157	9410026	50	-1237.10506
chr4	9410189	9410734	9410482	50	-1144.75409
chr4	9410743	9509226	9469831	50	-1402.83075
chr4	9509227	9563053	9540041	50	-1175.27269
chr4	9563292	9597487	9568944	50	-1164.20403
chr4	9602840	9719678	9669971	50	-1385.72129
chr4	9720354	9779656	9742761	50	-1178.35931
chr4	9779723	9803583	9789684	50	-825.54379
chr4	9803616	9847559	9823666	50	-1237.57249
chr4	9849775	9898731	9874659	50	-1322.70634
chr4	9899400	9996943	9960611	50	-1083.68639
chr4	9997830	10231415	10128477	50	-1252.29325
chr4	10231960	10321057	10274728	50	-873.49720
chr4	10321079	10479518	10395830	50	-1048.38666
chr4	10494851	10823839	10636573	50	-1272.96813
chr4	10823850	10900678	10868286	50	-1565.82235
chr4	10900744	11077881	10991459	50	-1250.69914
chr4	11077926	11143518	11125322	50	-1681.11261
chr4	11143530	11152546	11147815	50	-1614.99532
chr4	11152551	11158626	11157586	50	-1998.31148
chr4	11158628	11205896	11187693	50	-1400.81337
chr4	11205926	11221662	11212746	50	-1409.62207
chr4	11221750	11237643	11232542	50	-1282.70037
