scaffold	start	end	mid	sites	lnL
chr19	449	739	594	50	-1057.95304
chr19	748	1852	1308	50	-1799.05142
chr19	1858	4195	2282	50	-1394.62433
chr19	4373	12159	11482	50	-1652.48180
chr19	12161	12790	12476	50	-1392.13924
chr19	12791	13486	12990	50	-1131.63740
chr19	13516	70029	35888	50	-1091.65229
chr19	74096	142631	114657	50	-408.05767
chr19	145840	222157	192520	50	-526.42848
chr19	222329	266307	246592	50	-621.97932
chr19	267322	304590	286237	50	-640.84897
chr19	304910	314254	310130	50	-621.54107
chr19	314337	334570	325678	50	-801.45971
chr19	335198	346793	341521	50	-933.72730
chr19	346813	361644	356098	50	-907.59020
chr19	361753	372373	366448	50	-966.49142
chr19	372578	384388	379127	50	-899.07477
chr19	384537	402854	392574	50	-791.42495
chr19	402967	432965	415894	50	-1015.50082
chr19	432995	463078	446282	50	-1293.13275
chr19	463326	477262	470587	50	-1036.63894
chr19	477296	488710	482069	50	-739.58854
chr19	488749	506729	497325	50	-1029.65267
chr19	506860	531115	519389	50	-943.91137
chr19	531280	558606	542281	50	-1381.68872
chr19	560576	595997	580016	50	-786.53880
chr19	596016	632482	610212	50	-874.56465
chr19	633084	660093	648106	50	-1046.62991
chr19	660140	690821	675548	50	-1106.42329
chr19	691539	709697	701000	50	-1016.06491
chr19	709736	737590	725307	50	-937.82722
chr19	737965	754044	746997	50	-988.76800
chr19	755395	792345	777101	50	-1346.59888
chr19	794957	812603	802182	50	-1050.84449
chr19	813093	832126	824740	50	-1123.07072
chr19	832351	868155	846454	50	-1168.18955
chr19	868886	904758	882871	50	-1072.00900
chr19	909834	942780	926782	50	-1383.50444
chr19	944203	979284	959369	50	-1159.87262
chr19	979306	1016716	993525	50	-1260.55622
chr19	1017578	1084820	1052724	50	-1212.81632
chr19	1085295	1100282	1095423	50	-1184.05774
chr19	1100392	1110216	1105814	50	-1177.02109
chr19	1110369	1151857	1129432	50	-1187.59020
chr19	1152904	1162915	1158656	50	-1331.04168
chr19	1162930	1173403	1166949	50	-771.32114
chr19	1173697	1197857	1184923	50	-1285.20737
chr19	1198439	1226526	1214867	50	-1475.98626
chr19	1226571	1286742	1261842	50	-1622.19467
chr19	1286845	1306941	1297857	50	-1141.07938
chr19	1307709	1342126	1322056	50	-1275.05532
chr19	1342129	1365913	1356463	50	-1137.26940
chr19	1368214	1432746	1405706	50	-1053.69676
chr19	1432764	1463393	1449764	50	-1423.37753
chr19	1465775	1514438	1498173	50	-1973.04260
chr19	1518941	1549992	1535518	50	-1221.22396
chr19	1550015	1625891	1584802	50	-1365.39133
chr19	1625896	1705589	1655648	50	-1114.48451
chr19	1705595	1771889	1740120	50	-1306.02617
chr19	1771890	1857815	1807676	50	-1559.47838
chr19	1866051	1948019	1904729	50	-1324.94549
chr19	1951648	2083826	2039530	50	-1429.26165
chr19	2083960	2209173	2133428	50	-1608.39732
chr19	2209191	2282899	2247267	50	-1353.72702
chr19	2282940	2319920	2297664	50	-1697.16086
chr19	2321154	2509146	2394716	50	-1638.31179
chr19	2509192	2630633	2563999	50	-1350.34465
chr19	2634490	2670252	2657897	50	-1474.48715
chr19	2670476	2714180	2696944	50	-2080.24744
chr19	2726351	2806462	2766578	50	-1693.00988
chr19	2806492	2951902	2900691	50	-1357.38855
chr19	2952123	2970933	2961392	50	-1396.48225
chr19	2970961	3019771	2989494	50	-1491.52453
chr19	3019775	3097689	3058754	50	-1382.93270
chr19	3097705	3115913	3105572	50	-1550.73657
chr19	3116186	3131049	3123904	50	-1169.38588
chr19	3131278	3160288	3143988	50	-1473.98439
chr19	3161082	3176685	3172658	50	-1172.28021
chr19	3176725	3194403	3184183	50	-1656.24700
chr19	3194774	3253151	3224745	50	-1247.93205
chr19	3253153	3297571	3280995	50	-1531.27385
chr19	3299617	3376870	3319171	50	-1309.60907
chr19	3376877	3412910	3399830	50	-1170.12141
chr19	3412927	3457289	3431183	50	-1118.69784
chr19	3457293	3486016	3474922	50	-1372.07112
chr19	3486065	3533451	3505168	50	-1723.89428
chr19	3533621	3595302	3580826	50	-1410.71195
chr19	3595306	3607014	3600260	50	-1409.75274
chr19	3608214	3677981	3635145	50	-1823.20950
chr19	3677985	3720025	3704737	50	-1448.93038
chr19	3720117	3731778	3725694	50	-1306.51711
chr19	3731782	3749872	3740335	50	-1373.90154
chr19	3749874	3792105	3762855	50	-1520.33218
chr19	3804654	3830616	3819521	50	-1149.89076
chr19	3830617	3841114	3836830	50	-997.68012
chr19	3841224	3904464	3864098	50	-1148.78314
chr19	3904824	3985327	3949943	50	-1985.87864
chr19	3985328	4023996	4004896	50	-1954.90593
chr19	4024336	4043765	4035801	50	-1120.05448
chr19	4044011	4071220	4063500	50	-1321.75273
chr19	4071222	4138785	4106249	50	-1217.47991
chr19	4138792	4178403	4165120	50	-1206.05014
chr19	4178404	4190635	4183600	50	-1537.44150
chr19	4190995	4207351	4197660	50	-1082.55145
chr19	4210795	4234124	4226395	50	-1099.59249
chr19	4235044	4279578	4260576	50	-1588.19741
chr19	4279589	4292488	4285944	50	-1246.33565
chr19	4293073	4307184	4300226	50	-1331.42870
chr19	4307289	4367784	4346648	50	-1515.09016
chr19	4368355	4376962	4373031	50	-1115.00853
chr19	4377021	4402809	4391196	50	-1310.80235
