scaffold	start	end	mid	sites	lnL
chr6	239	219981	66429	150	-4523.17627
chr6	219985	314207	264816	150	-4195.45209
chr6	314457	397323	355881	150	-4591.17185
chr6	397502	477908	442060	150	-4290.49666
chr6	477909	581620	531056	150	-5189.17073
chr6	581642	685581	615153	150	-5277.75308
chr6	687531	930470	788441	150	-5747.66223
chr6	930712	1331047	1092194	150	-5641.62251
chr6	1331279	2351936	1766944	150	-6023.12862
chr6	2366627	3077917	2751993	150	-6531.23106
chr6	3078148	3416418	3261091	150	-5871.17902
chr6	3416436	3603517	3529514	150	-5510.31860
chr6	3603518	3703313	3648146	150	-4908.46246
chr6	3703331	4249374	4011584	150	-6028.17511
chr6	4249431	4328848	4305666	150	-6318.12916
chr6	4328957	4330954	4330046	150	-5562.12795
chr6	4330972	4567003	4404739	150	-6790.43702
chr6	4567158	5150520	4824147	150	-5864.13183
chr6	5171833	5486163	5377970	150	-5500.56787
chr6	5486167	5706097	5602811	150	-5563.57820
chr6	5706098	5940899	5812152	150	-4714.94286
chr6	5942587	6393237	6138043	150	-6005.61288
chr6	6396106	6703004	6565552	150	-5774.23516
chr6	6703029	7140217	6907108	150	-5796.20220
chr6	7146968	7857834	7580489	150	-5353.04270
chr6	7857838	8035183	7975492	150	-4743.43001
chr6	8035332	8104573	8070391	150	-4414.61748
chr6	8105147	8203712	8172417	150	-4360.08675
chr6	8203839	8415237	8307203	150	-4234.65863
chr6	8415292	8731684	8547492	150	-4303.91852
chr6	8731688	9148856	8940058	150	-4460.47569
chr6	9148857	9480049	9257892	150	-4272.11314
chr6	9480060	9697733	9606741	150	-4017.24835
chr6	9700693	9908202	9802795	150	-3785.73016
chr6	9908248	10001316	9951495	150	-5238.67785
chr6	10001318	10087093	10047253	150	-5572.10081
chr6	10087244	10226432	10158705	150	-4560.03292
chr6	10226528	10393232	10292924	150	-4482.18341
chr6	10395296	10858570	10638264	150	-4695.16118
chr6	10858590	11272131	11112791	150	-4645.81806
chr6	11272657	11497397	11381961	150	-3774.79825
chr6	11501577	11630803	11564536	150	-3202.83787
chr6	11630852	11669882	11654301	150	-4422.82987
chr6	11669893	11866842	11757434	150	-3635.51886
chr6	11868143	11953304	11917761	150	-3595.02638
chr6	11953572	12056222	12009856	150	-4495.12931
chr6	12059072	12204563	12140911	150	-3858.17084
chr6	12207605	12306779	12274587	150	-4750.94104
chr6	12307174	12389112	12341195	150	-5196.67939
chr6	12389161	12460699	12421652	150	-4471.27132
chr6	12460917	12582389	12523975	150	-4829.63852
chr6	12582428	12658801	12606244	150	-4379.46260
chr6	12658802	12744525	12697674	150	-4264.55574
chr6	12744579	12848964	12799833	150	-4858.32212
chr6	12849226	12892528	12872060	150	-5006.87616
chr6	12893404	12987055	12959083	150	-4947.86998
chr6	12987154	13017849	12999657	150	-5074.97651
chr6	13017850	13070567	13039747	150	-5270.06493
chr6	13070570	13130774	13104106	150	-4032.87906
chr6	13131306	13240309	13163167	150	-4623.26249
chr6	13247439	13311877	13293373	150	-5019.81800
chr6	13311892	13378124	13333251	150	-4875.90545
chr6	13378171	13447483	13420247	150	-5689.67964
chr6	13447824	13496281	13477924	150	-4786.80478
chr6	13496304	13517704	13506462	150	-4541.04355
chr6	13517766	13565988	13541108	150	-4264.10478
chr6	13566168	13677164	13643814	150	-4317.86815
chr6	13679931	13722191	13700371	150	-3777.37644
chr6	13722452	13846524	13800615	150	-5076.73289
chr6	13846811	13884784	13867201	150	-5824.35338
chr6	13884805	13927340	13908132	150	-5057.92856
chr6	13927349	13950886	13938590	150	-5394.61128
chr6	13950931	13967963	13959519	150	-4333.85675
chr6	13968027	13996953	13980988	150	-4801.59655
chr6	13996973	14022341	14010106	150	-4684.38569
chr6	14022355	14055964	14037676	150	-6245.47055
chr6	14056421	14081909	14068584	150	-4707.85266
chr6	14082331	14134830	14100741	150	-4575.19118
chr6	14135067	14214045	14188056	150	-5425.73905
chr6	14214849	14256832	14236655	150	-4323.76166
chr6	14256866	14296343	14276628	150	-5144.75524
chr6	14296351	14343922	14319302	150	-4302.64088
chr6	14349405	15068092	14570849	150	-4531.08820
chr6	15068105	15567411	15357045	150	-4431.93332
chr6	15570017	15826188	15694689	150	-4939.20783
chr6	15826707	16274124	15988612	150	-4678.73129
chr6	16294481	16565160	16409992	150	-5125.76968
chr6	16565191	16915706	16719014	150	-4293.50947
chr6	16915713	17123630	17036877	150	-3945.23772
chr6	17124003	17192102	17151081	150	-3468.90537
