scaffold	start	end	mid	sites	lnL
chr5	14562	115185	60244	50	-1379.44382
chr5	133827	498258	302709	50	-732.29360
chr5	508042	719285	605504	50	-818.45324
chr5	727686	1048809	877095	50	-860.52634
chr5	1048881	1272967	1101577	50	-1128.13393
chr5	1273377	1425033	1340253	50	-1209.46137
chr5	1433954	1644815	1512283	50	-845.02616
chr5	1644826	1646845	1645107	50	-880.11330
chr5	1646855	1647273	1647074	50	-763.45454
chr5	1647284	1663081	1649001	50	-846.51738
chr5	1670002	1850979	1764597	50	-986.16701
chr5	1852140	1932354	1897103	50	-1098.72352
chr5	1932968	2038997	1965185	50	-1011.56617
chr5	2042970	2134861	2090170	50	-1049.97831
chr5	2134875	2218711	2181053	50	-1097.17600
chr5	2219840	2261586	2234418	50	-1294.74307
chr5	2266514	2352062	2333404	50	-1531.64870
chr5	2352614	2409813	2381128	50	-1233.37113
chr5	2415876	2522507	2465459	50	-1251.25142
chr5	2545058	2731200	2647001	50	-1297.95439
chr5	2731408	3068905	2876651	50	-1218.75299
chr5	3068923	3348049	3241926	50	-1241.68857
chr5	3362073	3432769	3390615	50	-1372.65305
chr5	3432778	3559601	3483572	50	-1385.83351
chr5	3559608	3669776	3594448	50	-1114.60945
chr5	3670272	3702449	3699403	50	-1547.50412
chr5	3702460	3729236	3714214	50	-1540.83523
chr5	3729240	3833011	3757279	50	-965.04654
chr5	3833664	3987438	3905465	50	-977.69504
chr5	3988398	4055612	4035455	50	-1193.35730
chr5	4059656	4082920	4074669	50	-1293.75214
chr5	4082934	4142711	4112939	50	-1191.46670
chr5	4142957	4248141	4201295	50	-1480.41861
chr5	4248156	4344360	4267663	50	-1161.01206
chr5	4344363	4511300	4401372	50	-1262.53215
chr5	4511329	4742852	4617478	50	-1242.22815
chr5	4742863	4987716	4892092	50	-1270.84439
chr5	4992884	5360494	5137290	50	-1538.39337
chr5	5360534	5596024	5482668	50	-1272.50993
chr5	5598015	5677553	5648205	50	-918.90198
chr5	5677561	5805029	5719896	50	-1341.46789
chr5	5805097	5914086	5868624	50	-1201.89290
chr5	5914101	6157094	6066234	50	-1276.63540
chr5	6162947	6414148	6277060	50	-1091.81647
chr5	6414579	6506739	6456021	50	-1181.79306
chr5	6507350	6661359	6576680	50	-1070.87039
chr5	6661438	6974748	6782770	50	-1587.01802
chr5	6978965	7162522	7081976	50	-1168.84066
chr5	7163360	7258944	7212192	50	-1316.16712
chr5	7258945	7314272	7301714	50	-1468.84880
chr5	7314273	7324617	7315723	50	-1407.12801
chr5	7325491	7407663	7360879	50	-1371.25068
chr5	7416020	7566380	7510238	50	-1531.09963
chr5	7566419	7619168	7593653	50	-1643.76349
chr5	7619176	7622323	7621261	50	-1420.91502
chr5	7622335	7623102	7622782	50	-1678.73204
chr5	7623106	7626880	7625252	50	-1287.63898
chr5	7626889	7627191	7627048	50	-1389.29768
