scaffold	start	end	mid	sites	lnL
scaffold00223	1349	114930	48890	50	-878.64627
scaffold00223	117354	207687	170698	50	-850.04031
scaffold00223	207691	254778	227386	50	-605.54421
scaffold00223	258455	346088	298949	50	-895.71951
scaffold00223	347150	409338	365509	50	-828.25981
scaffold00223	418028	512979	470813	50	-718.41088
scaffold00223	513004	643992	568159	50	-698.70744
scaffold00223	644011	741579	702818	50	-1172.33786
scaffold00223	742259	765904	751470	50	-821.44788
scaffold00223	765919	776056	768325	50	-1315.47010
scaffold00223	776059	785243	782585	50	-1843.08141
