scaffold	start	end	mid	sites	lnL
chr1A	59763	448451	279043	150	-8027.37378
chr1A	459783	910819	729672	150	-5870.90428
chr1A	911374	1223196	1060503	150	-6086.22355
chr1A	1223198	1611526	1421565	150	-6342.02906
chr1A	1612789	1815455	1767257	150	-6645.62573
chr1A	1815459	1827294	1821329	150	-6789.63947
chr1A	1827304	1978501	1887429	150	-6343.38607
chr1A	1978532	2340827	2132241	150	-6422.10300
chr1A	2340842	2780960	2510801	150	-5483.37911
chr1A	2781002	3903458	3190511	150	-5201.06763
chr1A	3916143	4358550	4188094	150	-5037.76525
chr1A	4365712	4666703	4532523	150	-6032.03553
chr1A	4667802	4806836	4740751	150	-5392.57539
chr1A	4806848	5015088	4911312	150	-5289.10470
chr1A	5016734	5107926	5047337	150	-4793.76724
chr1A	5109755	5180490	5143641	150	-5393.28085
chr1A	5180507	5327332	5246067	150	-5425.31410
chr1A	5327341	5607649	5443955	150	-4760.53582
chr1A	5607827	5933932	5793801	150	-5167.37686
chr1A	5934673	6408794	6091619	150	-4900.91301
chr1A	6438378	6613216	6517668	150	-5929.11402
chr1A	6613275	7516171	7180455	150	-6052.59362
chr1A	7516177	8853917	8252496	150	-5405.92452
chr1A	8853922	9385073	9164089	150	-4865.70736
chr1A	9386367	10058921	9779468	150	-5395.43245
chr1A	10061831	10513823	10280025	150	-5614.83627
chr1A	10516090	10689218	10612911	150	-5353.81758
chr1A	10690330	10928983	10824781	150	-4933.59994
chr1A	10928984	11197039	11080112	150	-5432.90048
chr1A	11197050	11309927	11274819	150	-4545.92461
chr1A	11309949	11425110	11361932	150	-5254.02445
chr1A	11425113	11772207	11637919	150	-5510.49422
chr1A	11772212	11879605	11820386	150	-5255.85160
chr1A	11879638	12019165	11923701	150	-5115.52402
chr1A	12019443	12397452	12205801	150	-5866.95854
chr1A	12398119	12495168	12452940	150	-5134.54359
chr1A	12496168	12677999	12579326	150	-5510.30995
chr1A	12678001	12934774	12828499	150	-5449.55342
chr1A	12939759	13178845	13035765	150	-4977.75068
chr1A	13178853	13359984	13258714	150	-5282.31736
chr1A	13361476	13490126	13423604	150	-5270.15619
chr1A	13490269	13661278	13580532	150	-4864.28052
chr1A	13661281	14440944	13944028	150	-4370.92554
chr1A	14466241	16338496	15715613	150	-4754.56251
chr1A	16341749	17208202	16735950	150	-5039.75784
chr1A	17210832	17581485	17464101	150	-5045.71860
chr1A	17581938	17955582	17736571	150	-5541.03384
chr1A	17956796	18403645	18182881	150	-5045.91903
chr1A	18405080	19328193	18959169	150	-4390.93235
chr1A	19328208	19494122	19401203	150	-4578.93646
chr1A	19511273	20130039	19820389	150	-4581.64176
chr1A	20130097	20700891	20442934	150	-4208.15622
chr1A	20702002	21583351	21206959	150	-5585.01863
chr1A	21583352	21654719	21610384	150	-7408.12219
chr1A	21654729	21658115	21656380	150	-4664.07174
chr1A	21658869	22015470	21827626	150	-5132.74035
chr1A	22020040	22213491	22123303	150	-4461.65498
chr1A	22215468	22515463	22372706	150	-4926.52503
chr1A	22518769	23681597	23124837	150	-5044.58760
chr1A	23681602	24181859	23938312	150	-5349.91716
chr1A	24181871	24445315	24252149	150	-5066.89212
chr1A	24451162	25592949	25182806	150	-4536.02455
chr1A	25592969	26138704	25852497	150	-4953.68709
chr1A	26139469	26498345	26360661	150	-4251.48156
chr1A	26498421	26842411	26660256	150	-4974.69616
chr1A	26842415	27317141	27078232	150	-5183.27446
chr1A	27317938	27734080	27524482	150	-4858.42591
chr1A	27734116	27975216	27877044	150	-4959.33998
chr1A	27975256	28158124	28069664	150	-4040.99381
chr1A	28164473	28966716	28453926	150	-4583.64097
chr1A	28981042	29999472	29702333	150	-4268.10084
chr1A	30000670	30389571	30226929	150	-5278.10223
chr1A	30391918	30552138	30464139	150	-4539.15016
chr1A	30555929	30903804	30700192	150	-4985.85420
chr1A	30903848	31214616	31074654	150	-4943.31948
chr1A	31218840	31499005	31338976	150	-4407.07764
chr1A	31500231	31748097	31686220	150	-4698.56388
chr1A	31748108	31894726	31832520	150	-5164.77212
chr1A	31894760	32099209	32010540	150	-5472.14474
chr1A	32118188	32372679	32248400	150	-5734.47769
chr1A	32372703	32584748	32504272	150	-4836.66617
chr1A	32588052	32795052	32701850	150	-5014.42119
chr1A	32795089	33188952	32990634	150	-4899.00511
chr1A	33188963	33384761	33277676	150	-4886.96358
chr1A	33389792	33865475	33572257	150	-4185.91791
chr1A	33873225	34577984	34371840	150	-4786.11909
chr1A	34578164	34691209	34640956	150	-3800.94768
chr1A	34691216	35038131	34843970	150	-5432.43974
chr1A	35038250	35442842	35180008	150	-4380.79318
chr1A	35468108	36242456	35859332	150	-4824.75710
chr1A	36242517	36741443	36478617	150	-4688.91658
chr1A	36743962	37450898	37131601	150	-4502.16620
chr1A	37451184	39626417	38413957	150	-4098.16321
chr1A	39629174	40137928	39902170	150	-3640.05179
chr1A	40137929	40916981	40655480	150	-4585.22745
chr1A	40916994	41218841	41080571	150	-4062.85224
chr1A	41227968	41456685	41327094	150	-4754.41073
chr1A	41456908	41653326	41544478	150	-3681.47843
chr1A	41653329	41958693	41805232	150	-5612.05988
chr1A	41966096	42152270	42080309	150	-5302.32950
chr1A	42152282	42209251	42174685	150	-5162.22392
chr1A	42209259	42462238	42299223	150	-5268.39461
chr1A	42462283	43146348	42825816	150	-4934.58779
chr1A	43148456	43667941	43358009	150	-5146.17101
chr1A	43671516	44160961	43971629	150	-4326.64449
chr1A	44162028	44375330	44258763	150	-4849.21754
chr1A	44375422	44443936	44420047	150	-4310.00675
chr1A	44444001	44523794	44488787	150	-5482.04728
chr1A	44524062	44685560	44621964	150	-5825.58240
chr1A	44688444	44768862	44722842	150	-5055.59303
chr1A	44768954	44853484	44814226	150	-5083.73905
chr1A	44853499	44959241	44899614	150	-3832.00720
chr1A	44959278	45125964	45043986	150	-4045.85246
chr1A	45125992	45371406	45225702	150	-4091.78980
