scaffold	start	end	mid	sites	lnL
chr1A	59763	244050	143634	50	-1502.34265
chr1A	244329	276235	270056	50	-2231.65404
chr1A	313965	448451	423440	50	-1816.25581
chr1A	459783	673069	614030	50	-1471.97322
chr1A	673072	794585	717171	50	-1571.97319
chr1A	794586	910819	857815	50	-1143.34938
chr1A	911374	1039316	984838	50	-1288.44550
chr1A	1039320	1077051	1052198	50	-1839.87927
chr1A	1077053	1223196	1144474	50	-1432.44264
chr1A	1223198	1335220	1269755	50	-1757.85183
chr1A	1335373	1484022	1420536	50	-1379.13440
chr1A	1484363	1611526	1574404	50	-1598.21560
chr1A	1612789	1773466	1693089	50	-1520.22758
chr1A	1776790	1804352	1798461	50	-1362.00935
chr1A	1804615	1815455	1810221	50	-1674.43528
chr1A	1815459	1816133	1815945	50	-1197.75874
chr1A	1816145	1826921	1820935	50	-1665.85559
chr1A	1826922	1827294	1827107	50	-1669.78906
chr1A	1827304	1839647	1830082	50	-1953.84053
chr1A	1841583	1915924	1883203	50	-1386.91733
chr1A	1915935	1978501	1949001	50	-1293.80484
chr1A	1978532	2042111	2009959	50	-1861.83846
chr1A	2042189	2202833	2098011	50	-1500.23455
chr1A	2234673	2340827	2288753	50	-1444.13644
chr1A	2340842	2429028	2397833	50	-1397.25657
chr1A	2429142	2555969	2469044	50	-1356.30392
chr1A	2556655	2780960	2665525	50	-1382.43047
chr1A	2781002	2931115	2848907	50	-1085.47163
chr1A	2936234	3259804	3060971	50	-1396.78331
chr1A	3266037	3903458	3661654	50	-1261.14698
chr1A	3916143	4149612	4027426	50	-1305.65736
chr1A	4149660	4310692	4197765	50	-1315.06588
chr1A	4310741	4358550	4339091	50	-1118.89665
chr1A	4365712	4518898	4429176	50	-1817.43914
chr1A	4520784	4582860	4547723	50	-1074.98253
chr1A	4582861	4666703	4620671	50	-1444.17173
chr1A	4667802	4723199	4688393	50	-1378.31750
chr1A	4723205	4767228	4746400	50	-972.50745
chr1A	4767500	4806836	4787460	50	-1346.47752
chr1A	4806848	4872028	4842714	50	-1230.53294
chr1A	4873464	4940556	4908309	50	-1367.82743
chr1A	4942685	5015088	4982911	50	-1250.24442
chr1A	5016734	5025507	5021044	50	-948.64144
chr1A	5028157	5047179	5040006	50	-962.31851
chr1A	5047192	5107926	5080961	50	-1125.24131
chr1A	5109755	5130702	5120325	50	-1365.15838
chr1A	5130812	5156913	5144255	50	-1116.15412
chr1A	5157577	5180490	5166343	50	-1104.78920
chr1A	5180507	5221677	5203279	50	-1098.78535
chr1A	5224553	5262212	5243063	50	-1210.03063
chr1A	5262288	5327332	5291859	50	-1375.29650
chr1A	5327341	5407380	5367492	50	-1117.44662
chr1A	5413085	5489907	5442078	50	-1208.77050
chr1A	5489908	5607649	5522296	50	-976.15481
chr1A	5607827	5737862	5669009	50	-1418.06119
chr1A	5737863	5862842	5816811	50	-1132.66644
chr1A	5862847	5933932	5895582	50	-914.00494
chr1A	5934673	6003603	5963287	50	-768.50485
chr1A	6005109	6085390	6061038	50	-1301.42265
chr1A	6087360	6408794	6250531	50	-1179.35390
chr1A	6438378	6503468	6485118	50	-1211.54504
chr1A	6503508	6517620	6507514	50	-1737.11300
chr1A	6528371	6613216	6560371	50	-849.88974
chr1A	6613275	7021445	6869971	50	-1364.35312
chr1A	7021519	7355576	7194154	50	-1242.75679
chr1A	7358888	7516171	7477239	50	-1843.79183
chr1A	7516177	7921972	7787987	50	-1211.84746
chr1A	7922064	8593680	8219784	50	-1478.45156
chr1A	8593689	8853917	8749717	50	-1133.79714
chr1A	8853922	9091332	8986142	50	-1066.10150
chr1A	9097189	9268706	9171951	50	-1063.36116
chr1A	9268731	9385073	9334173	50	-1153.04028
chr1A	9386367	9705370	9512955	50	-1216.37863
chr1A	9735736	9893359	9828603	50	-1007.22725
chr1A	9893398	10058921	9996846	50	-1436.39120
chr1A	10061831	10195172	10149682	50	-1454.64858
chr1A	10196159	10327259	10275073	50	-1143.32291
chr1A	10327306	10513823	10415320	50	-1595.08729
chr1A	10516090	10588950	10562507	50	-1436.73228
chr1A	10588952	10644116	10615069	50	-923.50778
chr1A	10644459	10689218	10661157	50	-1186.92153
chr1A	10690330	10782287	10728084	50	-1204.84502
chr1A	10786420	10889283	10830535	50	-1156.38725
chr1A	10889288	10928983	10915725	50	-1104.88368
chr1A	10928984	11048285	10993711	50	-1199.56372
chr1A	11048290	11118584	11076086	50	-1389.62328
chr1A	11124718	11197039	11170538	50	-1172.97875
chr1A	11197050	11270560	11239701	50	-1117.90627
chr1A	11270690	11293465	11282191	50	-1002.13631
chr1A	11293489	11309927	11302564	50	-871.93371
chr1A	11309949	11333698	11322947	50	-1212.31315
chr1A	11333768	11365281	11349085	50	-1295.46322
chr1A	11365362	11425110	11413765	50	-1213.64006
chr1A	11425113	11562209	11520667	50	-1422.23728
chr1A	11562346	11719996	11637161	50	-1232.49193
chr1A	11720063	11772207	11755929	50	-1433.26687
chr1A	11772212	11790128	11779481	50	-890.93679
chr1A	11790860	11851309	11816908	50	-1233.97002
chr1A	11851311	11879605	11864768	50	-1566.20787
chr1A	11879638	11891131	11885268	50	-953.52488
chr1A	11891173	11928778	11908742	50	-1150.45907
chr1A	11934079	12019165	11977094	50	-1409.46248
chr1A	12019443	12140979	12068406	50	-1410.65050
chr1A	12141456	12264390	12189926	50	-1118.06811
chr1A	12264413	12397452	12359071	50	-1555.10889
chr1A	12398119	12451904	12416788	50	-1216.83204
chr1A	12451948	12468729	12463548	50	-1127.70824
chr1A	12469278	12495168	12478483	50	-1162.20477
chr1A	12496168	12533680	12518564	50	-1070.16797
chr1A	12536639	12610771	12563007	50	-1361.91670
chr1A	12613741	12677999	12656408	50	-1306.39212
chr1A	12678001	12803436	12725718	50	-1180.91710
chr1A	12803520	12887603	12851135	50	-1224.62109
chr1A	12887734	12934774	12908646	50	-1621.67018
chr1A	12939759	13003467	12975711	50	-1449.28722
chr1A	13003468	13036622	13026705	50	-989.69071
chr1A	13036707	13178845	13104880	50	-1056.37928
chr1A	13178853	13213977	13200259	50	-995.87202
chr1A	13213989	13298341	13251505	50	-1382.63735
chr1A	13298560	13359984	13324378	50	-1247.33644
chr1A	13361476	13405774	13382207	50	-1042.19838
chr1A	13405875	13450753	13420722	50	-1252.50683
chr1A	13450754	13490126	13467882	50	-1322.46263
chr1A	13490269	13547347	13504347	50	-1321.84230
chr1A	13554626	13620206	13602570	50	-994.95738
chr1A	13620270	13661278	13634680	50	-997.38236
chr1A	13661281	13730309	13686060	50	-795.02906
chr1A	13737227	14070779	13917843	50	-884.78762
chr1A	14070782	14440944	14228182	50	-1124.65420
chr1A	14466241	15292106	14933910	50	-1122.95524
chr1A	15292116	16179181	15914601	50	-1030.58036
chr1A	16212268	16338496	16298328	50	-1074.98281
chr1A	16341749	16505926	16414638	50	-1108.49155
chr1A	16516800	16986795	16689700	50	-992.92453
chr1A	16991353	17208202	17103512	50	-1371.90740
chr1A	17210832	17417188	17339897	50	-964.86055
chr1A	17423953	17528932	17489652	50	-1245.90095
chr1A	17531907	17581485	17562753	50	-1263.70205
chr1A	17581938	17648913	17623479	50	-1252.81440
chr1A	17648921	17779137	17711282	50	-1472.22366
chr1A	17795242	17955582	17874952	50	-1087.64782
chr1A	17956796	18120436	18038469	50	-983.47947
chr1A	18120445	18240563	18186917	50	-1285.01556
chr1A	18251890	18403645	18323258	50	-1066.55864
chr1A	18405080	18774255	18605808	50	-975.51578
chr1A	18774423	19166535	19041685	50	-1108.50984
chr1A	19166582	19328193	19230013	50	-882.06289
chr1A	19328208	19349276	19342320	50	-854.11191
