scaffold	start	end	mid	sites	lnL
scaffold00239	2537	62522	32270	50	-1487.92026
scaffold00239	62809	109660	91279	50	-1162.23649
scaffold00239	110361	159608	137119	50	-1121.57678
scaffold00239	160940	218964	193191	50	-1125.76253
scaffold00239	218983	271889	248992	50	-1219.50995
scaffold00239	273151	318747	287294	50	-1286.73366
scaffold00239	318787	336067	328014	50	-949.98735
scaffold00239	336131	400995	357305	50	-1179.95439
scaffold00239	403076	417507	411127	50	-1345.26070
scaffold00239	417517	440957	425183	50	-978.35276
scaffold00239	441983	460416	448847	50	-791.18112
scaffold00239	460494	534684	488511	50	-810.02255
