GeneName	GeneID	CHR	Start	End	RegionLength	NumberofSNPs	Coverage	PrivateHomoAlternative	PrivateHomoRef.orHetero	SNPIDsPrivateHomoAlternative	SNPIDsPrivateHomoRef.orHetero
HERC2	IV00\_00008837, IV00\_00008839	chr1	80723002	80828471	105470	38	0.036	0	0		
OCA2	ENSTGUT00000010894.2, ENSTGUT00000025229.1, ENSTGUT00000045867.1	chr1	80993875	81026517	32643	9	0.0276	0	0		
HPGDS	IV00\_00015896	chr4	19597087	19643867	46781	18	0.0385	0	0		
HAND2	IV00\_00016654	chr4	34530499	34562689	32191	8	0.0249	0	0		
DCTD	IV00\_00016726	chr4	38018179	38051574	33396	24	0.0719	0	0		
Trans-eQTL Affecting CREBBP \& WDR24	Red Junglefowl Chr10 (\textasciitilde15038239)	chr10	16142442	16172734	30293	4	0.0132	0	0		
MC1R	ENSTGUT00000008351.2	chr11	19396350	19427294	30945	26	0.084	0	0		
WNT7A	IV00\_00038223, IV00\_00038225	chr12	1234393	1299273	64881	48	0.074	0	0		
CREBBP	IV00\_00042043, IV00\_00042044, IV00\_00042045	chr14	14015219	14100495	85277	73	0.0856	1	0	chr14\_14071379	
WDR24	IV00\_00042115	chr14	14870231	14906767	36537	38	0.104	0	0		
ASIP	ENSTGUT00000034149.1, ENSTGUT00000036307.1	chr20	13067029	13099255	32227	10	0.031	0	0		
MFSD12	IV00\_00051423	chr28	824102	859000	34899	84	0.2407	0	0		
TYRP1	IV00\_00022782	chrZ	58274995	58314807	39813	0	0	0	0		
MLANA	ENSTGUT00000045010.1	chrZ	61160606	61186850	26245	3	0.0114	0	0		
PMEL	ENSTGUT00000003914.2	scaffold01715	0	15014	15015	0	0	0	0		
