GeneID	GeneName	CHR	Start	End	upper	AIMs
IV00_00037371	GNA0	chr11	12147147	12152565	CHECK	---
IV00_00037566	GFOD2	chr11	13913150	13918814	CHECK	---
IV00_00037568	Unknown	chr11	13926327	13929280	CHECK	---
IV00_00037569	CIAPIN1	chr11	13931662	13936994	CHECK	---
IV00_00037570	COQ9	chr11	13940780	13946198	CHECK	---
IV00_00037571	POLR2C	chr11	13946365	13952339	CHECK	---
IV00_00037572	DOK4	chr11	13954830	13957767	CHECK	---
IV00_00037573	CCDC102A	chr11	13960203	13964795	CHECK	---
IV00_00037574	GPR56	chr11	13978723	13980282	CHECK	---
IV00_00037575	GPR56	chr11	13980373	13984942	CHECK	---
IV00_00037994	TANGO6	chr11	19458180	19474485	CHECK	---
IV00_00037995	HAS3	chr11	19477189	19479386	CHECK	---
IV00_00037996	CHTF8	chr11	19480909	19481386	CHECK	---
IV00_00037997	CIRH1A	chr11	19482125	19488236	CHECK	---
IV00_00037998	SNTB2	chr11	19488955	19495408	CHECK	---
IV00_00038238	Unknown	chr12	1401452	1401853	CHECK	---
IV00_00038346	UBA1	chr12	2778652	2786439	---	CHECK
IV00_00038347	AMT	chr12	2787975	2789862	---	CHECK
IV00_00038348	NICN1	chr12	2790594	2793413	---	CHECK
IV00_00038349	DAG1	chr12	2795883	2800253	---	CHECK
IV00_00038370	MST1R	chr12	2988057	2994754	CHECK	---
IV00_00038371	MON1A	chr12	2997794	3000375	CHECK	---
IV00_00038373	RBM6	chr12	3005920	3024023	CHECK	---
IV00_00039826	ZMAT2	chr13	2233174	2239177	CHECK	---
IV00_00039828	HARS	chr13	2243563	2263081	CHECK	---
IV00_00039829	APBB3	chr13	2268531	2275430	CHECK	---
IV00_00039830	ANKHD1	chr13	2276265	2282970	CHECK	---
IV00_00040403	ARSI	chr13	11415092	11417862	CHECK	---
IV00_00040404	Unknown	chr13	11441613	11449936	CHECK	---
IV00_00046959	DAB2IP	chr17	9437185	9444711	CHECK	---
IV00_00046960	DAB2IP	chr17	9446359	9455121	CHECK	---
IV00_00047116	MVB12B	chr17	10834933	10848094	CHECK	---
IV00_00047119	MVB12B	chr17	10877098	10878693	CHECK	---
IV00_00045973	NTN1	chr18	10889920	10891038	CHECK	---
IV00_00047189	CLUH	chr19	384254	404499	CHECK	---
IV00_00047751	LIG3	chr19	5799469	5814087	CHECK	---
IV00_00047752	RFFL	chr19	5816500	5825148	CHECK	---
IV00_00047758	RAD51D	chr19	5846415	5852634	CHECK	---
IV00_00048076	Unknown	chr19	8824125	8824637	---	CHECK
IV00_00048077	LIMK1	chr19	8830708	8837347	---	CHECK
