scaffold	start	end	mid	sites	lnL
chr20	238	216729	119512	50	-631.43327
chr20	217241	297876	270539	50	-383.91307
chr20	298507	353672	328267	50	-600.57910
chr20	353687	388847	375417	50	-718.76329
chr20	389053	419814	400437	50	-1062.55002
chr20	424425	447318	434341	50	-886.54153
chr20	448293	481935	468415	50	-1000.22058
chr20	482757	510344	500339	50	-1229.00879
chr20	510400	538411	527710	50	-1018.85983
chr20	538413	553449	545104	50	-1097.75878
chr20	553455	571691	563488	50	-1245.03661
chr20	571827	617257	591975	50	-941.58842
chr20	617275	628846	622254	50	-868.64649
chr20	629397	644235	634165	50	-702.26672
chr20	644262	679968	658222	50	-1172.93285
chr20	680010	690168	686505	50	-899.57916
chr20	690176	714835	703281	50	-1080.06425
chr20	714926	732428	724676	50	-880.01321
chr20	732782	750461	738000	50	-1063.78752
chr20	751322	772406	759216	50	-797.63728
chr20	772437	790401	779567	50	-1051.04595
chr20	790465	804977	799547	50	-735.93372
chr20	805181	839990	826056	50	-1511.75623
chr20	840175	872149	848038	50	-913.73517
chr20	874028	900601	887829	50	-1172.60498
chr20	900690	909020	905336	50	-1161.51406
chr20	909031	921096	914854	50	-1037.00963
chr20	921160	938747	928073	50	-1073.49537
chr20	939098	969429	955542	50	-1242.00839
chr20	969440	1034476	1009382	50	-1335.35990
chr20	1034501	1070671	1051502	50	-1366.80508
chr20	1070701	1105178	1091525	50	-1295.29122
chr20	1108919	1154631	1130493	50	-1191.22223
chr20	1157624	1188252	1177528	50	-1170.12478
chr20	1188419	1210963	1200818	50	-1192.78340
chr20	1210973	1269339	1233020	50	-1294.30929
chr20	1271034	1344421	1299374	50	-1377.32294
chr20	1349606	1400118	1374864	50	-1288.80052
chr20	1400119	1450914	1424113	50	-1810.14662
chr20	1450915	1578734	1543378	50	-1656.99266
chr20	1578809	1706038	1639461	50	-1316.00519
chr20	1706055	1796975	1756154	50	-1539.17529
chr20	1799461	1906392	1829264	50	-1226.98398
chr20	1913143	2072308	1962419	50	-1221.04254
chr20	2073055	2218802	2122679	50	-1497.26183
chr20	2218803	2325565	2292814	50	-1146.44985
chr20	2325572	2355421	2337032	50	-2052.98404
chr20	2355425	2440173	2391073	50	-1397.62605
chr20	2442435	2552703	2484645	50	-1160.97707
chr20	2553427	2629552	2596601	50	-1230.52465
chr20	2629693	2720368	2660968	50	-1328.60539
chr20	2720431	2746638	2735093	50	-1030.95837
chr20	2746739	2767751	2755705	50	-1438.49198
chr20	2768759	2844358	2811583	50	-1476.29246
chr20	2844382	2889733	2861304	50	-1475.03646
chr20	2890274	2926548	2904919	50	-1137.36522
chr20	2926565	2980836	2947058	50	-1171.94526
chr20	2982151	3141085	3054860	50	-1572.86638
chr20	3141107	3210261	3176415	50	-1395.99724
chr20	3226594	3286288	3252136	50	-1449.79523
chr20	3286296	3345497	3320137	50	-1351.74613
chr20	3345650	3382318	3366000	50	-1182.83991
chr20	3383401	3524001	3474718	50	-1247.20166
chr20	3524162	3545441	3534846	50	-1243.52235
chr20	3545490	3693881	3619775	50	-936.17136
chr20	3700460	3749229	3730610	50	-1315.78975
chr20	3749320	3853839	3784360	50	-1409.53348
chr20	3862150	4094305	3950426	50	-1396.01216
chr20	4094306	4256245	4177356	50	-1367.54770
chr20	4259124	4376236	4318447	50	-1341.22404
chr20	4378839	4455879	4423008	50	-1112.48827
chr20	4459300	4507159	4485390	50	-1264.44755
chr20	4507285	4543239	4527975	50	-1509.84241
chr20	4543423	4575740	4564737	50	-1076.75655
chr20	4575823	4620276	4588690	50	-1576.27256
chr20	4620277	4661120	4641551	50	-1314.54319
chr20	4662897	4708458	4678707	50	-1481.17784
chr20	4708481	4766530	4740054	50	-1397.50538
chr20	4766568	4775633	4771261	50	-1204.54531
chr20	4775640	4781609	4778660	50	-1121.17948
chr20	4781767	4789493	4786253	50	-1356.54322
chr20	4789573	4798047	4793421	50	-1235.60400
chr20	4798070	4811144	4803436	50	-1337.73479
chr20	4812027	4828223	4820278	50	-1427.88378
chr20	4828902	4836691	4832157	50	-1278.64278
chr20	4836790	4857248	4844934	50	-1447.59189
chr20	4863131	4893445	4879497	50	-1253.49193
chr20	4894703	4910029	4901816	50	-1089.43317
chr20	4910181	4926738	4918511	50	-1489.98953
chr20	4926799	4956260	4940491	50	-1259.16028
chr20	4956302	4998438	4975305	50	-1474.56837
chr20	4998657	5041676	5021351	50	-1067.21108
chr20	5042418	5096400	5068054	50	-1420.52865
chr20	5098704	5146545	5123082	50	-983.50526
chr20	5146546	5174344	5160811	50	-1292.05775
chr20	5174483	5211611	5195315	50	-1536.67306
chr20	5212209	5243340	5232354	50	-1053.61644
chr20	5243356	5329368	5269148	50	-1372.46534
chr20	5329374	5388718	5353211	50	-1370.14871
chr20	5388719	5436772	5413240	50	-1601.59074
chr20	5436781	5493772	5457624	50	-1418.16708
chr20	5493777	5582990	5537793	50	-1160.13351
chr20	5583290	5718120	5655044	50	-1546.43636
chr20	5720024	5774646	5735889	50	-1186.97148
chr20	5774908	5829120	5803230	50	-1449.46115
chr20	5830857	5906335	5881802	50	-1266.81567
chr20	5908902	5965240	5933799	50	-1583.91747
chr20	5965241	6022945	5989274	50	-1249.38544
chr20	6026139	6089344	6059846	50	-1597.77083
chr20	6089355	6119810	6105509	50	-1206.68871
chr20	6119871	6145580	6130237	50	-1119.14698
chr20	6152063	6213078	6175272	50	-1378.10876
chr20	6223233	6286920	6252694	50	-1549.11554
chr20	6288790	6343480	6319042	50	-1286.97211
chr20	6343545	6393439	6364523	50	-1375.14758
chr20	6397200	6433920	6414661	50	-1806.06606
chr20	6433933	6471261	6456673	50	-1438.94093
chr20	6471456	6487219	6476403	50	-1319.41067
chr20	6487318	6511254	6501742	50	-1294.68917
chr20	6513000	6565354	6542860	50	-1316.71273
