scaffold	start	end	mid	sites	lnL
chr23	6140	69161	32135	50	-1025.63245
chr23	69162	137398	98285	50	-652.47766
chr23	138062	162540	151482	50	-497.49226
chr23	168981	244206	204369	50	-635.87622
chr23	245324	330275	271967	50	-775.52822
chr23	330289	380420	356106	50	-824.36934
chr23	380423	411561	400390	50	-677.97009
chr23	415209	465748	432879	50	-961.68571
chr23	465750	515276	487677	50	-733.65249
chr23	515291	601892	548112	50	-825.01400
chr23	611677	709405	674893	50	-1092.79332
chr23	709417	760319	725291	50	-1381.30754
chr23	763435	869552	826383	50	-1068.96183
chr23	873158	1007885	911506	50	-1353.99194
chr23	1017247	1093890	1076432	50	-1280.18828
chr23	1093894	1194847	1154268	50	-1623.03649
chr23	1195352	1480889	1276424	50	-1058.57298
chr23	1480890	1649440	1578262	50	-1387.14144
chr23	1649456	1758256	1718632	50	-1052.24700
chr23	1758340	1781392	1765495	50	-977.15536
chr23	1781416	1826150	1809755	50	-1419.31222
chr23	1827176	1861914	1858488	50	-1970.63273
chr23	1861915	1885985	1871757	50	-1314.63842
chr23	1885988	1982939	1931058	50	-1142.54672
chr23	1987554	2049288	2012280	50	-1570.27004
chr23	2049307	2120679	2078651	50	-1278.09957
chr23	2129693	2181121	2156948	50	-1260.72542
chr23	2181145	2209272	2193291	50	-1387.09584
chr23	2210571	2243831	2225105	50	-1290.61064
chr23	2244899	2279935	2264418	50	-1028.62876
chr23	2280136	2318088	2298072	50	-1163.68404
chr23	2318252	2362342	2332256	50	-1357.18510
chr23	2362501	2367721	2365394	50	-1245.80525
chr23	2367729	2388091	2373487	50	-1305.00078
chr23	2388162	2410639	2400068	50	-1514.42154
chr23	2413752	2440524	2430003	50	-1126.43847
chr23	2440567	2466487	2449062	50	-946.57557
chr23	2467363	2485136	2474865	50	-1078.44337
chr23	2485692	2533324	2515724	50	-1029.51134
chr23	2533325	2554792	2542127	50	-856.83119
chr23	2554806	2590017	2581745	50	-800.61567
chr23	2590036	2606382	2597569	50	-1027.39233
chr23	2607117	2650383	2643488	50	-1348.59722
chr23	2650406	2685073	2669692	50	-1233.09531
chr23	2685079	2700714	2693242	50	-897.86865
chr23	2700732	2715338	2707962	50	-954.18604
chr23	2717214	2790070	2753928	50	-1210.35658
chr23	2790083	2960014	2849969	50	-1233.25471
chr23	2961517	3015298	2994817	50	-991.99192
chr23	3015304	3037207	3029752	50	-1409.15901
chr23	3037224	3067146	3051454	50	-1231.91943
