scaffold	start	end	mid	sites	lnL
chr13	2178	44240	26971	50	-567.39727
chr13	45157	113824	76553	50	-653.62108
chr13	118877	176838	156890	50	-642.81380
chr13	176924	201566	187315	50	-606.36804
chr13	202111	235628	217686	50	-619.25447
chr13	235632	286722	260146	50	-622.06363
chr13	286783	297573	290215	50	-964.75048
chr13	297598	310535	304325	50	-457.88976
chr13	310560	331200	321778	50	-475.14296
chr13	331509	368267	346171	50	-654.39032
chr13	369522	455029	403755	50	-632.39782
chr13	457474	523573	492624	50	-440.23870
chr13	523588	597478	576631	50	-447.60048
chr13	598101	656077	626275	50	-495.15417
chr13	656115	718266	691679	50	-481.50156
chr13	721966	788148	753749	50	-567.04822
chr13	788158	900259	821036	50	-980.83383
chr13	901691	1010737	950308	50	-474.31316
chr13	1010748	1041523	1014631	50	-842.01161
chr13	1041537	1078937	1046394	50	-872.85634
chr13	1078952	1166274	1134459	50	-1008.70138
chr13	1166275	1253070	1217839	50	-1020.77313
chr13	1254073	1295323	1269727	50	-650.62072
chr13	1295475	1325984	1312830	50	-816.67728
chr13	1325995	1391690	1342230	50	-789.10493
chr13	1391721	1450664	1417755	50	-847.19285
chr13	1450670	1461541	1453605	50	-1632.84690
chr13	1461543	1603438	1527934	50	-1534.23642
chr13	1603442	1672569	1637535	50	-1132.06277
chr13	1672576	1729247	1698556	50	-1165.66975
chr13	1729254	1756742	1742093	50	-1190.70486
chr13	1756766	1791569	1769559	50	-1034.35082
chr13	1791578	1843311	1824697	50	-1121.61320
chr13	1844900	1861743	1851317	50	-1002.24075
chr13	1861788	1883109	1875588	50	-1055.41652
chr13	1883152	1915397	1895814	50	-1269.21103
chr13	1915773	1940167	1931570	50	-1396.50212
chr13	1940175	2014604	1982863	50	-1850.54272
chr13	2014729	2035712	2024974	50	-1117.98885
chr13	2035716	2043713	2039241	50	-1612.43295
chr13	2043749	2047056	2045518	50	-1279.04496
chr13	2047059	2115011	2069350	50	-1446.48423
chr13	2120838	2179692	2166154	50	-1631.35405
chr13	2179695	2195107	2185051	50	-2075.04073
chr13	2199530	2227590	2210846	50	-1404.49112
chr13	2227956	2247821	2237081	50	-1096.38268
chr13	2247946	2271594	2262080	50	-1017.08909
chr13	2271895	2286805	2279254	50	-878.25142
chr13	2286822	2372233	2331684	50	-1406.54169
chr13	2372237	2381201	2378346	50	-979.06961
chr13	2381232	2395103	2387344	50	-1237.21415
chr13	2395168	2435591	2418003	50	-1371.54010
chr13	2436398	2448584	2440636	50	-1098.26251
chr13	2448722	2473385	2462429	50	-1319.02692
chr13	2475235	2514754	2494720	50	-929.89214
chr13	2514815	2534026	2524228	50	-1134.97769
chr13	2534221	2553801	2541245	50	-868.58679
chr13	2553804	2571128	2562475	50	-1290.42335
chr13	2571356	2592888	2579682	50	-1260.64271
chr13	2592932	2623922	2605089	50	-1221.11301
chr13	2624269	2641005	2633670	50	-890.89208
chr13	2641016	2670016	2653716	50	-1076.88411
chr13	2672282	2691909	2681997	50	-1226.09489
chr13	2691914	2703673	2696605	50	-1119.84886
chr13	2707829	2734415	2718082	50	-970.38117
chr13	2735614	2755655	2750979	50	-1175.28714
chr13	2756069	2766023	2762778	50	-1322.91060
chr13	2766080	2790678	2780899	50	-1152.25106
chr13	2790690	2809500	2799864	50	-1257.99441
chr13	2809531	2831411	2819002	50	-1162.02327
chr13	2831415	2847757	2839783	50	-1573.73588
chr13	2848208	2864163	2857076	50	-1227.48147
chr13	2864270	2887508	2877694	50	-1282.83526
chr13	2887569	2922263	2903828	50	-1304.14176
chr13	2922266	2959141	2945072	50	-1136.57150
chr13	2961761	2988061	2974746	50	-934.34089
chr13	2988063	3018849	3009020	50	-1058.79316
chr13	3018880	3032563	3026246	50	-1370.18646
chr13	3032655	3041280	3035884	50	-969.02649
chr13	3045140	3091868	3058489	50	-1275.79677
chr13	3091940	3154904	3123077	50	-1126.99124
chr13	3154932	3296438	3202406	50	-1398.98962
chr13	3299657	3443096	3379474	50	-1289.93515
chr13	3443129	3595217	3530029	50	-1450.52685
chr13	3595220	3719400	3655549	50	-1116.03513
chr13	3719411	3858626	3790182	50	-1105.48040
chr13	3858651	3888178	3874293	50	-1656.21682
chr13	3888188	3933631	3921405	50	-1253.99661
chr13	3933632	3940070	3937322	50	-976.89552
chr13	3940968	3949571	3944543	50	-1050.24148
chr13	3949572	3985396	3973484	50	-824.99620
chr13	3985491	4014956	3999871	50	-1076.26546
chr13	4014974	4054879	4034835	50	-940.59747
chr13	4055011	4074253	4065756	50	-1029.01507
chr13	4074255	4200084	4116391	50	-1179.14823
chr13	4207957	4430392	4300636	50	-1178.28144
chr13	4443423	4640634	4535185	50	-1206.96518
chr13	4640640	4820594	4736933	50	-1259.28779
chr13	4823117	5096166	4924574	50	-1152.23662
chr13	5096315	5524551	5306790	50	-1363.60733
chr13	5524589	5688179	5607334	50	-1415.50879
chr13	5689103	5831186	5779798	50	-1153.45205
chr13	5831199	5964638	5892276	50	-1056.27040
chr13	5964656	6349238	6105432	50	-1123.11719
chr13	6352547	6667786	6472423	50	-1172.53460
chr13	6668438	6848502	6768197	50	-1126.56200
chr13	6850042	6901548	6884937	50	-1207.64572
chr13	6901856	6943900	6922069	50	-1165.84799
chr13	6948205	6979178	6961589	50	-1213.04964
chr13	6979422	7006636	6996642	50	-1125.01822
chr13	7006869	7040720	7023139	50	-1123.26902
chr13	7040913	7118093	7068584	50	-1188.28196
chr13	7118144	7146711	7131452	50	-1055.89126
chr13	7150856	7197179	7179411	50	-958.48031
chr13	7197189	7213361	7203760	50	-984.71500
chr13	7213464	7225873	7218669	50	-1092.58207
chr13	7225876	7246844	7240219	50	-1282.86488
chr13	7249824	7294227	7272059	50	-1086.30530
chr13	7298779	7327153	7314100	50	-1073.10095
chr13	7327166	7355091	7337315	50	-1478.90974
chr13	7355426	7393685	7377911	50	-1152.69020
chr13	7393941	7405923	7401883	50	-794.67489
chr13	7405930	7470529	7437491	50	-1194.18838
chr13	7470634	7534859	7506197	50	-1104.69434
chr13	7534865	7653818	7601757	50	-1043.75357
chr13	7653947	7769883	7703603	50	-1233.09121
chr13	7771400	7858906	7807248	50	-1173.43196
chr13	7859500	7935545	7899902	50	-1087.44647
chr13	7935600	8044241	8004406	50	-971.36218
chr13	8052300	8149711	8099869	50	-1238.11032
chr13	8150580	8180553	8169735	50	-1316.56137
chr13	8181088	8231412	8200069	50	-1568.76340
chr13	8231511	8287934	8260068	50	-1234.35029
chr13	8287944	8314040	8303084	50	-1496.13209
chr13	8314044	8365865	8331632	50	-1227.89628
chr13	8365873	8435372	8396410	50	-1306.72909
chr13	8436266	8459307	8448225	50	-988.14956
chr13	8461112	8485763	8472915	50	-1377.91777
chr13	8485764	8511804	8498546	50	-1555.82076
chr13	8512185	8606046	8557859	50	-1467.25968
chr13	8606074	8640379	8630264	50	-1497.82178
chr13	8640485	8683270	8650897	50	-876.15960
chr13	8683507	8726846	8703483	50	-1150.12095
chr13	8726971	8824566	8774441	50	-1040.78265
chr13	8824567	8911817	8862454	50	-1259.98085
chr13	8911835	8960127	8933675	50	-1195.23203
chr13	8961455	8996921	8984244	50	-1355.18853
chr13	8996925	9056785	9025308	50	-1229.29801
chr13	9056790	9100726	9079023	50	-1274.89968
chr13	9100822	9144511	9129413	50	-1488.00832
chr13	9144821	9186652	9167342	50	-1454.58577
chr13	9188382	9212093	9202110	50	-1385.80803
chr13	9216190	9286482	9256554	50	-1334.13763
chr13	9286483	9306822	9298359	50	-1345.21319
chr13	9306825	9456935	9343441	50	-1235.87481
chr13	9462661	9495588	9476948	50	-1244.60309
chr13	9495635	9741551	9586999	50	-1124.06145
chr13	9744170	9831311	9796276	50	-1173.33101
chr13	9831321	9885119	9861769	50	-1105.02705
chr13	9885120	9912302	9902484	50	-1349.98295
chr13	9912584	9978528	9958302	50	-955.40889
chr13	9978542	10003165	9990168	50	-1060.45007
chr13	10004366	10077072	10042970	50	-1585.58963
chr13	10077419	10089773	10083631	50	-1518.66165
chr13	10090341	10124726	10101763	50	-1320.98351
chr13	10124730	10155641	10145740	50	-1079.39463
