scaffold	start	end	mid	sites	lnL
chr20	238	353672	239439	150	-2433.29857
chr20	353687	447318	403398	150	-3935.97244
chr20	448293	538411	498822	150	-4523.02241
chr20	538413	617257	566856	150	-4702.29963
chr20	617275	679968	638214	150	-4202.05701
chr20	680010	732428	704820	150	-4176.66766
chr20	732782	790401	758928	150	-4238.83280
chr20	790465	872149	824547	150	-4613.51145
chr20	874028	921096	902673	150	-4886.14475
chr20	921160	1034476	964333	150	-5192.20361
chr20	1034501	1154631	1091174	150	-5368.95420
chr20	1157624	1269339	1203788	150	-5081.05425
chr20	1271034	1450914	1366117	150	-6154.10183
chr20	1450915	1796975	1646331	150	-6014.64541
chr20	1799461	2218802	1971454	150	-5669.75847
chr20	2218803	2440173	2340306	150	-6171.63071
chr20	2442435	2720368	2580738	150	-5175.83064
chr20	2720431	2844358	2767460	150	-5494.01679
chr20	2844382	2980836	2904427	150	-5228.73327
chr20	2982151	3286288	3161137	150	-5994.08078
chr20	3286296	3524001	3386952	150	-5323.83013
chr20	3524162	3749229	3628410	150	-4994.56519
chr20	3749320	4256245	3970714	150	-5673.89089
chr20	4259124	4507159	4408948	150	-5294.29051
chr20	4507285	4620276	4560467	150	-5688.08262
chr20	4620277	4766530	4686771	150	-5794.57186
chr20	4766568	4789493	4778724	150	-5477.10196
chr20	4789573	4828223	4805712	150	-5521.63053
chr20	4828902	4893445	4852196	150	-5551.10554
chr20	4894703	4956260	4920273	150	-5403.34158
chr20	4956302	5096400	5021570	150	-5517.10226
chr20	5098704	5211611	5159736	150	-5385.78319
chr20	5212209	5388718	5284904	150	-5198.83795
chr20	5388719	5582990	5469552	150	-5531.27304
chr20	5583290	5829120	5731388	150	-5691.49288
chr20	5830857	6022945	5934959	150	-5624.44795
chr20	6026139	6145580	6098531	150	-5418.51247
chr20	6152063	6343480	6249003	150	-5791.13736
chr20	6343545	6471261	6411953	150	-6185.86586
chr20	6471456	6565354	6507002	150	-5659.15222
chr20	6565360	6630565	6604224	150	-5173.06354
chr20	6630579	6757696	6667880	150	-5286.61816
chr20	6757721	6930872	6850634	150	-5405.02474
chr20	6930889	6988736	6953509	150	-6051.47764
chr20	6988924	7014955	7004459	150	-6298.56589
chr20	7014957	7068800	7034409	150	-6029.41596
chr20	7069041	7145950	7108022	150	-5892.58743
chr20	7146194	7199908	7175410	150	-4886.12338
chr20	7200010	7252409	7230002	150	-5412.26024
chr20	7252420	7293133	7270934	150	-5365.71591
chr20	7293158	7338734	7320833	150	-5599.12716
chr20	7338879	7437226	7385666	150	-5568.86113
chr20	7438515	7520362	7478884	150	-5346.65913
chr20	7520370	7601191	7556189	150	-5885.70933
chr20	7601896	7661997	7635546	150	-4886.95650
chr20	7662435	7684179	7677872	150	-5890.09564
chr20	7684197	7689515	7685868	150	-5618.10525
chr20	7689516	7722540	7702310	150	-5399.57290
chr20	7724792	7791334	7763786	150	-4653.94156
chr20	7793056	7859932	7833968	150	-5328.10374
chr20	7859935	7891134	7872430	150	-5351.92070
chr20	7891139	7924938	7907746	150	-4757.13695
chr20	7925057	7976004	7953895	150	-5311.47002
chr20	7976051	8024413	7995682	150	-5177.13714
chr20	8024441	8052101	8038562	150	-4774.88327
chr20	8052213	8095727	8074885	150	-4723.57564
chr20	8095860	8143627	8119717	150	-4912.51374
chr20	8144557	8249033	8194316	150	-5381.15870
chr20	8250420	8446202	8360209	150	-5082.35441
chr20	8446217	8592501	8515487	150	-5328.33195
chr20	8592886	8631178	8616975	150	-5350.66069
chr20	8631400	8686505	8653938	150	-5398.25031
chr20	8686513	8723296	8703460	150	-4456.29077
chr20	8723803	8778040	8747741	150	-4960.63925
chr20	8778835	8823370	8800280	150	-5525.40068
chr20	8823371	8859314	8840862	150	-4984.92694
chr20	8859338	8943109	8894341	150	-5825.53508
chr20	8943269	8995879	8969115	150	-5499.59903
chr20	8995880	9082596	9045318	150	-6318.24923
chr20	9082611	9128223	9098218	150	-6133.12376
chr20	9128542	9176555	9152475	150	-5677.70798
chr20	9176746	9231831	9202130	150	-5719.67457
chr20	9232570	9324291	9282195	150	-5590.74043
chr20	9324600	9386724	9347418	150	-4619.11964
chr20	9386726	9477607	9430846	150	-5979.16847
chr20	9481655	9613418	9550878	150	-5225.13474
chr20	9620486	9897127	9760862	150	-5408.79300
chr20	9897202	10175584	10039177	150	-5085.16404
chr20	10175610	10424512	10304655	150	-5476.96487
chr20	10428172	10575181	10513200	150	-5315.07098
chr20	10575270	10641292	10612016	150	-5416.47747
chr20	10645238	10751702	10718273	150	-5019.79494
chr20	10752134	10817402	10786166	150	-4042.10501
chr20	10817408	10994655	10905044	150	-5425.27089
chr20	10997512	11324741	11127787	150	-5559.16509
