scaffold	start	end	mid	sites	lnL
scaffold00239	2537	62522	32270	50	-1483.91581
scaffold00239	62809	109660	91279	50	-1153.74805
scaffold00239	110361	159608	137119	50	-1117.89325
scaffold00239	160940	218964	193191	50	-1126.17025
scaffold00239	218983	271889	248992	50	-1244.21946
scaffold00239	273151	318747	287294	50	-1317.30056
scaffold00239	318787	336067	328014	50	-981.84031
scaffold00239	336131	400995	357305	50	-1167.29942
scaffold00239	403076	417507	411127	50	-1322.38619
scaffold00239	417517	440957	425183	50	-1022.40366
scaffold00239	441983	460416	448847	50	-766.07401
scaffold00239	460494	534684	488511	50	-810.48983
